transaction_id,entity,matched_invoice_id,transaction_date,amount
MW-BANK9001,Meridian West,MW-INV5001,2025-09-06,12508.72
MW-BANK9002,Meridian West,MW-INV5002,2025-06-01,2195.7
MW-BANK9003,Meridian West,MW-INV5003,2025-11-12,12481.63
MW-BANK9004,Meridian West,MW-INV5004,2025-04-25,15119.68
MW-BANK9005,Meridian West,MW-INV5005,2025-12-16,9714.96
MW-BANK9006,Meridian West,MW-INV5006,2025-10-14,17428.11
MW-BANK9007,Meridian West,MW-INV5007,2025-10-14,8839.07
MW-BANK9008,Meridian West,MW-INV5008,2025-10-20,4829.17
MW-BANK9009,Meridian West,MW-INV5009,2025-03-23,5076.27
MW-BANK9010,Meridian West,MW-INV5011,2025-06-08,6259.9
MW-BANK9011,Meridian West,MW-INV5012,2025-06-19,12914.74
MW-BANK9012,Meridian West,MW-INV5013,2025-12-23,9560.18
MW-BANK9013,Meridian West,MW-INV5015,2025-11-18,2946.75
MW-BANK9014,Meridian West,MW-INV5016,2025-06-20,14157.67
MW-BANK9015,Meridian West,MW-INV5018,2025-12-21,1040.24
MW-BANK9016,Meridian West,MW-INV5021,2025-05-18,2882.27
MW-BANK9017,Meridian West,MW-INV5022,2025-08-06,8572.61
MW-BANK9018,Meridian West,MW-INV5023,2025-03-25,8884.69
MW-BANK9019,Meridian West,MW-INV5024,2025-10-28,18083.99
MW-BANK9020,Meridian West,MW-INV5025,2025-09-25,12709.27
MW-BANK9021,Meridian West,MW-INV5026,2025-06-23,10922.11
MW-BANK9022,Meridian West,MW-INV5027,2025-12-25,14015.43
MW-BANK9023,Meridian West,MW-INV5028,2025-04-03,8170.57
MW-BANK9024,Meridian West,MW-INV5029,2025-11-29,9152.57
MW-BANK9025,Meridian West,MW-INV5030,2025-12-02,5570.21
MW-BANK9026,Meridian West,MW-INV5031,2025-07-28,245.33
MW-BANK9027,Meridian West,MW-INV5032,2025-10-26,10329.48
MW-BANK9028,Meridian West,MW-INV5033,2025-08-01,14447.75
MW-BANK9029,Meridian West,MW-INV5034,2025-04-26,5084.66
MW-BANK9030,Meridian West,MW-INV5035,2025-07-13,11619.37
MW-BANK9031,Meridian West,MW-INV5036,2025-11-28,7120.98
MW-BANK9032,Meridian West,MW-INV5037,2025-09-26,17926.11
MW-BANK9033,Meridian West,MW-INV5038,2025-08-07,6848.04
MW-BANK9034,Meridian West,MW-INV5039,2025-05-24,12863.53
MW-BANK9035,Meridian West,MW-INV5040,2025-07-25,1507.26
MW-BANK9036,Meridian West,MW-INV5041,2025-10-23,13024.99
MW-BANK9037,Meridian West,MW-INV5042,2025-05-22,12022.45
MW-BANK9038,Meridian West,MW-INV5043,2025-04-13,9520.91
MW-BANK9039,Meridian West,MW-INV5045,2025-08-12,15404.68
MW-BANK9040,Meridian West,MW-INV5046,2025-08-22,13398.59
MW-BANK9041,Meridian West,MW-INV5047,2025-12-27,13737.98
MW-BANK9042,Meridian West,MW-INV5048,2025-11-24,3534.69
MW-BANK9043,Meridian West,MW-INV5049,2025-08-02,5257.63
MW-BANK9044,Meridian West,MW-INV5050,2025-04-16,4964.18
MW-BANK9045,Meridian West,MW-INV5051,2025-08-08,3315.88
MW-BANK9046,Meridian West,MW-INV5052,2025-04-25,4527.81
MW-BANK9047,Meridian West,MW-INV5053,2025-08-06,10010.91
MW-BANK9048,Meridian West,MW-INV5054,2025-08-30,11516.17
MW-BANK9049,Meridian West,MW-INV5055,2025-12-21,7776.82
MW-BANK9050,Meridian West,MW-INV5056,2025-07-11,4275.88
MW-BANK9051,Meridian West,MW-INV5057,2025-04-27,10116.0
MW-BANK9052,Meridian West,MW-INV5058,2025-04-01,13655.39
MW-BANK9053,Meridian West,MW-INV5059,2025-08-23,15048.16
MW-BANK9054,Meridian West,MW-INV5060,2025-05-08,11456.37
MW-BANK9055,Meridian West,MW-INV5061,2025-05-26,5459.27
MW-BANK9056,Meridian West,MW-INV5062,2025-03-26,18362.12
MW-BANK9057,Meridian West,MW-INV5064,2025-08-07,9611.51
MW-BANK9058,Meridian West,MW-INV5065,2025-03-31,12337.04
MW-BANK9059,Meridian West,MW-INV5066,2025-10-04,5077.65
MW-BANK9060,Meridian West,MW-INV5069,2025-07-10,12057.52
MW-BANK9061,Meridian West,MW-INV5070,2025-04-12,175.18
MW-BANK9062,Meridian West,MW-INV5071,2025-08-13,4351.18
MW-BANK9063,Meridian West,MW-INV5072,2025-04-11,11922.92
MW-BANK9064,Meridian West,MW-INV5073,2025-05-28,7704.88
MW-BANK9065,Meridian West,MW-INV5075,2025-11-25,14444.09
MW-BANK9066,Meridian West,MW-INV5076,2025-08-11,5573.2
MW-BANK9067,Meridian West,MW-INV5077,2025-12-01,18090.74
MW-BANK9068,Meridian West,MW-INV5078,2025-09-06,17664.21
MW-BANK9069,Meridian West,MW-INV5079,2025-09-27,14226.47
MW-BANK9070,Meridian West,MW-INV5080,2025-08-03,1600.05
MW-BANK9071,Meridian West,MW-INV5081,2025-07-15,15682.69
MW-BANK9072,Meridian West,MW-INV5082,2025-12-13,13760.08
MW-BANK9073,Meridian West,MW-INV5083,2025-10-17,3213.77
MW-BANK9074,Meridian West,MW-INV5084,2025-06-16,9762.72
MW-BANK9075,Meridian West,MW-INV5085,2025-09-24,3036.64
MW-BANK9076,Meridian West,MW-INV5086,2025-02-13,4637.52
MW-BANK9077,Meridian West,MW-INV5087,2025-12-24,7788.31
MW-BANK9078,Meridian West,MW-INV5088,2025-05-17,4245.45
MW-BANK9079,Meridian West,MW-INV5089,2025-08-11,6919.67
MW-BANK9080,Meridian West,MW-INV5090,2025-05-28,13595.95
MW-BANK9081,Meridian West,MW-INV5091,2025-08-15,15729.26
MW-BANK9082,Meridian West,MW-INV5092,2025-07-14,1857.04
MW-BANK9083,Meridian West,MW-INV5093,2025-11-05,15196.32
MW-BANK9084,Meridian West,MW-INV5094,2025-07-31,13008.31
MW-BANK9085,Meridian West,MW-INV5095,2025-04-26,8702.11
MW-BANK9086,Meridian West,MW-INV5098,2025-08-31,10351.75
MW-BANK9087,Meridian West,MW-INV5100,2025-06-02,16710.8
MW-BANK9088,Meridian West,MW-INV5101,2025-05-17,13443.31
MW-BANK9089,Meridian West,MW-INV5102,2025-06-30,8334.31
MW-BANK9090,Meridian West,MW-INV5103,2025-09-30,2668.28
MW-BANK9091,Meridian West,MW-INV5104,2025-07-25,14498.15
MW-BANK9092,Meridian West,MW-INV5105,2025-07-08,4169.02
MW-BANK9093,Meridian West,MW-INV5107,2025-11-19,6660.67
MW-BANK9094,Meridian West,MW-INV5108,2025-10-24,10492.18
MW-BANK9095,Meridian West,MW-INV5109,2025-04-10,515.68
MW-BANK9096,Meridian West,MW-INV5110,2025-07-31,1242.85
MW-BANK9097,Meridian West,MW-INV5111,2025-07-19,10903.41
MW-BANK9098,Meridian West,MW-INV5112,2025-12-04,5972.15
MW-BANK9099,Meridian West,MW-INV5113,2025-07-22,2486.84
MW-BANK9100,Meridian West,MW-INV5114,2025-03-27,3491.2
MW-BANK9101,Meridian West,MW-INV5115,2025-04-23,6513.97
MW-BANK9102,Meridian West,MW-INV5116,2025-08-28,359.11
MW-BANK9103,Meridian West,MW-INV5117,2025-07-26,3202.31
MW-BANK9104,Meridian West,MW-INV5118,2025-12-26,14063.77
MW-BANK9105,Meridian West,MW-INV5119,2025-03-10,3102.6
MW-BANK9106,Meridian West,MW-INV5122,2025-10-30,10236.31
MW-BANK9107,Meridian West,MW-INV5123,2025-09-28,3284.77
MW-BANK9108,Meridian West,MW-INV5124,2025-12-16,5012.83
MW-BANK9109,Meridian West,MW-INV5125,2025-08-21,5078.11
MW-BANK9110,Meridian West,MW-INV5126,2025-08-26,17962.45
MW-BANK9111,Meridian West,MW-INV5128,2025-09-24,10631.89
MW-BANK9112,Meridian West,MW-INV5129,2025-05-25,4038.18
MW-BANK9113,Meridian West,MW-INV5130,2025-11-12,4882.21
MW-BANK9114,Meridian West,MW-INV5131,2025-02-25,9739.01
MW-BANK9115,Meridian West,MW-INV5132,2025-03-26,10475.25
MW-BANK9116,Meridian West,MW-INV5133,2025-10-30,5203.85
MW-BANK9117,Meridian West,MW-INV5134,2025-12-29,4509.58
MW-BANK9118,Meridian West,MW-INV5135,2025-07-16,12717.03
MW-BANK9119,Meridian West,MW-INV5136,2025-11-12,11995.93
MW-BANK9120,Meridian West,MW-INV5137,2025-03-11,5848.61
MW-BANK9121,Meridian West,MW-INV5138,2025-03-27,4728.15
MW-BANK9122,Meridian West,MW-INV5139,2025-08-16,710.83
MW-BANK9123,Meridian West,MW-INV5140,2025-06-20,13893.44
MW-BANK9124,Meridian West,MW-INV5142,2025-12-04,3328.23
MW-BANK9125,Meridian West,MW-INV5143,2025-08-21,8572.61
MW-BANK9126,Meridian West,MW-INV5144,2025-12-27,17885.01
MW-BANK9127,Meridian West,MW-INV5145,2025-08-24,15958.37
MW-BANK9128,Meridian West,MW-INV5146,2025-03-27,14929.64
MW-BANK9129,Meridian West,MW-INV5147,2025-07-01,13669.03
MW-BANK9130,Meridian West,MW-INV5148,2025-12-16,14552.86
MW-BANK9131,Meridian West,MW-INV5149,2025-07-24,4896.26
MW-BANK9132,Meridian West,MW-INV5150,2025-07-26,4248.07
MW-BANK9133,Meridian West,MW-INV5151,2025-09-14,10798.75
MW-BANK9134,Meridian West,MW-INV5152,2025-08-04,7730.52
MW-BANK9135,Meridian West,MW-INV5153,2025-04-21,14448.82
MW-BANK9136,Meridian West,MW-INV5154,2025-06-06,10724.72
MW-BANK9137,Meridian West,MW-INV5155,2025-08-01,235.68
MW-BANK9138,Meridian West,MW-INV5156,2025-06-17,478.76
MW-BANK9139,Meridian West,MW-INV5157,2025-07-25,1348.02
MW-BANK9140,Meridian West,MW-INV5159,2025-05-05,9410.03
MW-BANK9141,Meridian West,MW-INV5160,2025-12-11,1041.57
MW-BANK9142,Meridian West,MW-INV5161,2025-07-25,13029.28
MW-BANK9143,Meridian West,MW-INV5162,2025-07-24,11578.34
MW-BANK9144,Meridian West,MW-INV5163,2025-03-27,14443.55
MW-BANK9145,Meridian West,MW-INV5165,2025-04-24,2886.8
MW-BANK9146,Meridian West,MW-INV5166,2025-09-12,18292.02
MW-BANK9147,Meridian West,MW-INV5167,2025-12-21,1893.22
MW-BANK9148,Meridian West,MW-INV5168,2025-07-27,16270.03
MW-BANK9149,Meridian West,MW-INV5169,2025-07-25,7888.93
MW-BANK9150,Meridian West,MW-INV5170,2025-08-08,16871.01
MW-BANK9151,Meridian West,MW-INV5171,2025-03-27,13500.81
MW-BANK9152,Meridian West,MW-INV5172,2025-12-19,9780.41
MW-BANK9153,Meridian West,MW-INV5173,2025-04-07,8993.41
MW-BANK9154,Meridian West,MW-INV5174,2025-12-07,17295.72
MW-BANK9155,Meridian West,MW-INV5175,2025-08-17,4236.66
MW-BANK9156,Meridian West,MW-INV5176,2025-04-06,15868.41
MW-BANK9157,Meridian West,MW-INV5177,2025-03-06,1817.93
MW-BANK9158,Meridian West,MW-INV5178,2025-08-05,6817.33
MW-BANK9159,Meridian West,MW-INV5179,2025-12-10,1937.97
MW-BANK9160,Meridian West,MW-INV5180,2025-03-23,16607.7
MW-BANK9161,Meridian West,MW-INV5182,2025-05-18,14318.86
MW-BANK9162,Meridian West,MW-INV5183,2025-03-22,10886.97
MW-BANK9163,Meridian West,MW-INV5184,2025-04-04,7258.89
MW-BANK9164,Meridian West,MW-INV5185,2025-07-19,5548.08
MW-BANK9165,Meridian West,MW-INV5186,2025-08-15,13212.89
MW-BANK9166,Meridian West,MW-INV5187,2025-12-10,10104.72
MW-BANK9167,Meridian West,MW-INV5188,2025-12-21,13873.39
MW-BANK9168,Meridian West,MW-INV5189,2025-03-08,13915.9
MW-BANK9169,Meridian West,MW-INV5190,2025-05-26,13978.45
MW-BANK9170,Meridian West,MW-INV5191,2025-12-21,14542.04
MW-BANK9171,Meridian West,MW-INV5192,2025-10-20,1137.27
MW-BANK9172,Meridian West,,2025-12-30,266.1
MW-BANK9173,Meridian West,,2025-10-29,227.71
MW-BANK9174,Meridian West,,2025-11-05,94.66
MW-BANK9175,Meridian West,,2025-04-10,131.79
MW-BANK9176,Meridian West,,2025-04-01,393.71
MW-BANK9177,Meridian West,,2025-02-08,91.05
MW-BANK9178,Meridian West,,2025-03-30,299.33
MW-BANK9179,Meridian West,,2025-03-03,163.34
MW-BANK9180,Meridian West,,2025-08-08,126.06
MC-BANK9001,Meridian Coastal,MC-INV5002,2025-11-20,15621.62
MC-BANK9002,Meridian Coastal,MC-INV5003,2025-05-30,14577.84
MC-BANK9003,Meridian Coastal,MC-INV5004,2025-08-02,6225.07
MC-BANK9004,Meridian Coastal,MC-INV5005,2025-02-22,4560.38
MC-BANK9005,Meridian Coastal,MC-INV5006,2025-07-28,4858.44
MC-BANK9006,Meridian Coastal,MC-INV5007,2025-03-22,6027.74
MC-BANK9007,Meridian Coastal,MC-INV5008,2025-12-24,11701.59
MC-BANK9008,Meridian Coastal,MC-INV5009,2025-08-31,13855.45
MC-BANK9009,Meridian Coastal,MC-INV5010,2025-10-18,1442.61
MC-BANK9010,Meridian Coastal,MC-INV5011,2025-07-27,11920.11
MC-BANK9011,Meridian Coastal,MC-INV5012,2025-03-15,5468.5
MC-BANK9012,Meridian Coastal,MC-INV5013,2025-09-11,13852.93
MC-BANK9013,Meridian Coastal,MC-INV5014,2025-12-24,6996.94
MC-BANK9014,Meridian Coastal,MC-INV5015,2025-10-13,4004.47
MC-BANK9015,Meridian Coastal,MC-INV5016,2025-06-19,3715.89
MC-BANK9016,Meridian Coastal,MC-INV5017,2025-08-28,12475.42
MC-BANK9017,Meridian Coastal,MC-INV5018,2025-12-11,4453.68
MC-BANK9018,Meridian Coastal,MC-INV5019,2025-07-17,10551.92
MC-BANK9019,Meridian Coastal,MC-INV5020,2025-12-19,8152.88
MC-BANK9020,Meridian Coastal,MC-INV5021,2025-09-17,11281.62
MC-BANK9021,Meridian Coastal,MC-INV5022,2025-03-26,13498.26
MC-BANK9022,Meridian Coastal,MC-INV5023,2025-02-21,18476.66
MC-BANK9023,Meridian Coastal,MC-INV5025,2025-11-18,2725.8
MC-BANK9024,Meridian Coastal,MC-INV5027,2025-10-05,8768.52
MC-BANK9025,Meridian Coastal,MC-INV5028,2025-06-29,15469.91
MC-BANK9026,Meridian Coastal,MC-INV5029,2025-03-15,16797.9
MC-BANK9027,Meridian Coastal,MC-INV5030,2025-02-19,9358.71
MC-BANK9028,Meridian Coastal,MC-INV5031,2025-04-23,2321.36
MC-BANK9029,Meridian Coastal,MC-INV5032,2025-11-14,3108.87
MC-BANK9030,Meridian Coastal,MC-INV5033,2025-02-25,3202.36
MC-BANK9031,Meridian Coastal,MC-INV5034,2025-12-29,15220.92
