invoice_id,entity,vendor_id,invoice_date,due_date,paid_date,amount,status,po_reference,is_duplicate
MN-INV5059,Meridian North,1,2025-12-03,2026-01-02,2025-12-15,1144.64,Paid,PO-77952,0
MN-INV5060,Meridian North,9,2025-03-09,2025-04-08,2025-04-12,17172.8,Paid,PO-67424,0
MN-INV5061,Meridian North,4,2025-03-23,2025-04-22,2025-05-03,7636.63,Paid,PO-39451,0
MN-INV5062,Meridian North,3,2025-09-13,2025-10-13,2025-09-23,17264.18,Paid,PO-48254,0
MN-INV5063,Meridian North,9,2025-03-16,2025-04-15,2025-04-11,9476.22,Paid,PO-27892,0
MN-INV5064,Meridian North,5,2025-01-02,2025-02-16,2025-03-13,5340.1,Paid,PO-49132,0
MN-INV5065,Meridian North,9,2025-09-05,2025-10-05,2025-09-12,10121.94,Paid,PO-69682,0
MN-INV5066,Meridian North,7,2025-01-23,2025-02-22,2025-03-15,5988.54,Paid,PO-71993,0
MN-INV5067,Meridian North,3,2025-09-11,2025-10-11,2025-09-22,17864.24,Paid,PO-53515,0
MN-INV5068,Meridian North,1,2025-03-15,2025-04-14,2025-04-24,7673.11,Paid,PO-95823,0
MN-INV5069,Meridian North,2,2025-06-18,2025-07-18,2025-08-09,7123.17,Paid,PO-51505,0
MN-INV5070,Meridian North,4,2025-11-20,2025-12-20,2025-11-25,12708.73,Paid,PO-47667,0
MN-INV5071,Meridian North,2,2025-08-16,2025-09-15,2025-08-27,681.18,Paid,PO-52516,0
MN-INV5072,Meridian North,7,2025-10-17,2025-11-16,2025-10-29,12661.04,Paid,PO-33600,0
MN-INV5073,Meridian North,3,2025-04-29,2025-05-29,2025-06-03,4835.25,Paid,PO-11231,0
MN-INV5074,Meridian North,8,2025-06-26,2025-07-26,2025-08-08,18273.41,Paid,PO-49210,0
MN-INV5075,Meridian North,7,2025-09-05,2025-10-05,2025-09-17,6736.9,Paid,PO-48780,0
MN-INV5076,Meridian North,1,2025-11-07,2025-12-07,2025-11-18,13823.91,Paid,PO-47512,0
MN-INV5077,Meridian North,5,2025-12-14,2026-01-28,,12643.69,Unpaid,PO-27927,0
MN-INV5078,Meridian North,1,2025-06-08,2025-07-08,2025-07-04,14621.0,Paid,PO-14373,0
MN-INV5079,Meridian North,7,2025-03-31,2025-04-30,2025-05-16,16233.05,Paid,PO-57953,0
MN-INV5080,Meridian North,8,2025-06-01,2025-07-01,2025-07-28,13849.36,Paid,PO-54396,0
MN-INV5081,Meridian North,7,2025-10-13,2025-11-12,2025-10-19,405.41,Paid,PO-80329,0
MN-INV5082,Meridian North,6,2025-02-25,2025-03-12,2025-04-04,12533.25,Paid,,0
MN-INV5083,Meridian North,2,2025-11-22,2025-12-22,2025-12-04,5695.19,Paid,PO-63516,0
MN-INV5084,Meridian North,2,2025-05-01,2025-05-31,2025-05-25,16431.21,Paid,PO-27781,0
MN-INV5085,Meridian North,3,2025-08-01,2025-08-31,2025-08-07,11447.22,Paid,,0
MN-INV5086,Meridian North,6,2025-02-20,2025-03-07,2025-03-04,18150.02,Paid,PO-58147,0
MN-INV5087,Meridian North,5,2025-04-08,2025-05-23,2025-06-25,15273.91,Paid,PO-22015,0
MN-INV5088,Meridian North,4,2025-03-06,2025-04-05,2025-04-12,14591.05,Paid,,0
MN-INV5089,Meridian North,4,2025-06-18,2025-07-18,2025-08-01,11086.26,Paid,PO-46342,0
MN-INV5090,Meridian North,2,2025-12-05,2026-01-04,2025-12-09,16049.32,Paid,,0
MN-INV5091,Meridian North,5,2025-01-27,2025-03-13,2025-03-31,2235.46,Paid,PO-18330,0
MN-INV5092,Meridian North,4,2025-11-11,2025-12-11,2025-11-23,945.75,Paid,PO-96363,0
MN-INV5093,Meridian North,7,2025-08-07,2025-09-06,2025-08-15,16843.01,Paid,PO-19632,0
MN-INV5094,Meridian North,9,2025-06-16,2025-07-16,2025-07-18,7139.6,Paid,PO-88301,0
MN-INV5095,Meridian North,2,2025-12-02,2026-01-01,2025-12-09,13377.41,Paid,PO-38183,0
MN-INV5096,Meridian North,7,2025-02-18,2025-03-20,2025-03-19,5885.26,Paid,PO-50963,0
MN-INV5097,Meridian North,2,2025-02-13,2025-03-15,2025-03-30,13706.91,Paid,PO-27054,0
MN-INV5098,Meridian North,7,2025-07-01,2025-07-31,2025-07-11,16180.7,Paid,PO-65435,0
MN-INV5099,Meridian North,9,2025-04-19,2025-05-19,2025-06-05,15697.49,Paid,PO-55890,0
MN-INV5100,Meridian North,9,2025-11-15,2025-12-15,2025-11-27,11409.07,Paid,PO-94239,0
MN-INV5101,Meridian North,5,2025-06-23,2025-08-07,2025-08-15,2778.66,Paid,PO-96159,0
MN-INV5102,Meridian North,9,2025-04-21,2025-05-21,2025-06-06,7053.17,Paid,PO-69460,0
MN-INV5103,Meridian North,2,2025-01-27,2025-02-26,2025-03-18,1063.14,Paid,PO-20693,0
MN-INV5104,Meridian North,4,2025-09-20,2025-10-20,2025-10-04,2238.55,Paid,PO-66349,0
MN-INV5105,Meridian North,1,2025-04-23,2025-05-23,2025-05-25,291.06,Paid,PO-49507,0
MN-INV5106,Meridian North,8,2025-08-09,2025-09-08,2025-08-21,3374.0,Paid,PO-59834,0
MN-INV5107,Meridian North,2,2025-07-23,2025-08-22,2025-08-02,493.91,Paid,PO-20205,0
MN-INV5108,Meridian North,5,2025-02-28,2025-04-14,2025-04-23,7582.34,Paid,,0
MN-INV5109,Meridian North,2,2025-08-12,2025-09-11,2025-08-23,10955.79,Paid,PO-78676,0
MN-INV5110,Meridian North,2,2025-09-19,2025-10-19,2025-09-27,11769.67,Paid,PO-79547,0
MN-INV5111,Meridian North,3,2025-05-01,2025-05-31,2025-06-17,3333.71,Paid,PO-30036,0
MN-INV5112,Meridian North,8,2025-10-16,2025-11-15,2025-10-27,14093.75,Paid,PO-68838,0
MN-INV5113,Meridian North,6,2025-03-19,2025-04-03,2025-04-05,11735.92,Paid,PO-46002,0
MN-INV5114,Meridian North,1,2025-07-08,2025-08-07,2025-07-19,15411.63,Paid,PO-20057,0
MN-INV5115,Meridian North,8,2025-10-25,2025-11-24,2025-10-29,16589.34,Paid,PO-68947,0
MN-INV5116,Meridian North,3,2025-02-01,2025-03-03,2025-03-09,8417.1,Paid,PO-55015,0
MN-INV5117,Meridian North,8,2025-08-13,2025-09-12,2025-08-18,6827.53,Paid,PO-47079,0
MN-INV5118,Meridian North,6,2025-02-03,2025-02-18,2025-02-28,6199.83,Paid,PO-83133,0
MN-INV5119,Meridian North,3,2025-06-20,2025-07-20,2025-08-12,16972.3,Paid,PO-50662,0
MN-INV5120,Meridian North,2,2025-06-08,2025-07-08,2025-07-26,10406.22,Paid,PO-94343,0
MN-INV5121,Meridian North,9,2025-02-17,2025-03-19,2025-03-25,6789.55,Paid,PO-57526,0
MN-INV5122,Meridian North,4,2025-03-12,2025-04-11,2025-04-15,2993.24,Paid,PO-48770,0
MN-INV5123,Meridian North,1,2025-12-05,2026-01-04,2025-12-12,2554.75,Paid,PO-59377,0
MN-INV5124,Meridian North,8,2025-01-23,2025-02-22,2025-03-19,7689.26,Paid,PO-98652,0
MN-INV5125,Meridian North,8,2025-04-30,2025-05-30,2025-06-03,14988.25,Paid,PO-71474,0
MN-INV5126,Meridian North,8,2025-05-25,2025-06-24,2025-07-04,14428.58,Paid,PO-75916,0
MN-INV5127,Meridian North,5,2025-01-27,2025-03-13,2025-03-13,10325.82,Paid,PO-23446,0
MN-INV5128,Meridian North,5,2025-08-19,2025-10-03,2025-09-08,16762.37,Paid,PO-29313,0
MN-INV5129,Meridian North,1,2025-08-01,2025-08-31,2025-08-14,4476.53,Paid,PO-20696,0
MN-INV5130,Meridian North,3,2025-03-12,2025-04-11,2025-04-26,852.86,Paid,PO-71925,0
MN-INV5131,Meridian North,2,2025-01-10,2025-02-09,2025-02-20,10220.56,Paid,PO-89807,0
MN-INV5132,Meridian North,4,2025-08-03,2025-09-02,2025-08-18,11874.76,Paid,PO-91633,0
MN-INV5133,Meridian North,9,2025-10-22,2025-11-21,2025-11-01,8026.53,Paid,PO-90584,0
MN-INV5134,Meridian North,6,2025-02-04,2025-02-19,2025-03-08,17644.96,Paid,PO-81313,0
MN-INV5135,Meridian North,8,2025-01-23,2025-02-22,2025-02-17,4804.48,Paid,PO-12128,0
MN-INV5136,Meridian North,6,2025-03-10,2025-03-25,2025-03-17,963.56,Paid,PO-81567,0
MN-INV5137,Meridian North,3,2025-03-11,2025-04-10,2025-05-06,8548.42,Paid,,0
MN-INV5138,Meridian North,7,2025-10-06,2025-11-05,2025-10-18,8836.89,Paid,PO-14799,0
MN-INV5139,Meridian North,6,2025-05-20,2025-06-04,2025-06-22,16472.08,Paid,PO-67637,0
MN-INV5140,Meridian North,9,2025-05-17,2025-06-16,2025-07-04,14851.07,Paid,,0
MN-INV5141,Meridian North,2,2025-06-17,2025-07-17,2025-07-24,11208.11,Paid,,0
MN-INV5142,Meridian North,6,2025-11-11,2025-11-26,2025-11-12,18466.06,Paid,PO-45986,0
MN-INV5143,Meridian North,6,2025-09-20,2025-10-05,2025-09-24,17633.69,Paid,PO-28714,0
MN-INV5144,Meridian North,6,2025-07-05,2025-07-20,2025-07-06,7175.38,Paid,,0
MN-INV5145,Meridian North,2,2025-10-21,2025-11-20,2025-11-01,5918.97,Paid,PO-46528,0
MN-INV5146,Meridian North,9,2025-03-02,2025-04-01,2025-04-19,4953.6,Paid,PO-44116,0
MN-INV5147,Meridian North,8,2025-04-13,2025-05-13,2025-06-06,8444.98,Paid,PO-68341,0
MN-INV5148,Meridian North,9,2025-10-05,2025-11-04,2025-10-19,5478.15,Paid,PO-49315,0
MN-INV5149,Meridian North,2,2025-04-13,2025-05-13,2025-05-26,9215.3,Paid,PO-57303,0
MN-INV5150,Meridian North,2,2025-06-08,2025-07-08,2025-07-13,7456.24,Paid,PO-72739,0
MN-INV5151,Meridian North,6,2025-11-25,2025-12-10,2025-12-01,9643.56,Paid,PO-26821,0
MN-INV5152,Meridian North,7,2025-09-15,2025-10-15,2025-09-26,16861.57,Paid,PO-17263,0
MN-INV5153,Meridian North,4,2025-06-27,2025-07-27,2025-08-18,5362.29,Paid,PO-20336,0
MN-INV5154,Meridian North,9,2025-02-17,2025-03-19,2025-03-27,9372.22,Paid,PO-32103,0
MN-INV5155,Meridian North,6,2025-10-16,2025-10-31,2025-10-24,1640.44,Paid,PO-94076,0
MN-INV5156,Meridian North,1,2025-09-12,2025-10-12,2025-09-23,16463.09,Paid,PO-81509,0
MN-INV5157,Meridian North,7,2025-06-02,2025-07-02,2025-06-30,3050.78,Paid,PO-64476,0
MN-INV5158,Meridian North,6,2025-06-26,2025-07-11,2025-07-26,18048.12,Paid,PO-27139,0
MN-INV5159,Meridian North,5,2025-08-19,2025-10-03,2025-09-13,5475.39,Paid,PO-60351,0
MN-INV5160,Meridian North,6,2025-04-08,2025-04-23,2025-05-09,14153.28,Paid,PO-75308,0
MN-INV5161,Meridian North,7,2025-09-16,2025-10-16,2025-09-23,10854.36,Paid,PO-16377,0
MN-INV5162,Meridian North,7,2025-03-10,2025-04-09,2025-04-22,16343.06,Paid,PO-57943,0
MN-INV5163,Meridian North,9,2025-04-10,2025-05-10,2025-05-17,7239.5,Paid,PO-69028,0
MN-INV5164,Meridian North,2,2025-07-21,2025-08-20,2025-08-01,6998.19,Paid,PO-54444,0
MN-INV5165,Meridian North,9,2025-01-21,2025-02-20,2025-03-08,6261.3,Paid,PO-72094,0
MN-INV5166,Meridian North,6,2025-03-25,2025-04-09,2025-04-22,7360.72,Paid,PO-90805,0
MN-INV5167,Meridian North,8,2025-10-16,2025-11-15,2025-10-24,6909.37,Paid,PO-98317,0
MN-INV5168,Meridian North,1,2025-11-02,2025-12-02,2025-11-17,8858.73,Paid,PO-95929,0
MN-INV5169,Meridian North,8,2025-03-29,2025-04-28,2025-04-25,14364.02,Paid,,0
MN-INV5170,Meridian North,4,2025-01-10,2025-02-09,2025-02-18,8243.06,Paid,,0
MN-INV5171,Meridian North,8,2025-02-01,2025-03-03,2025-03-12,10442.27,Paid,PO-96799,0
MN-INV5172,Meridian North,9,2025-07-01,2025-07-31,2025-07-07,12552.19,Paid,PO-99226,0
MN-INV5173,Meridian North,5,2025-10-13,2025-11-27,2025-11-04,18174.48,Paid,PO-47880,0
MN-INV5174,Meridian North,5,2025-05-28,2025-07-12,2025-08-13,2386.39,Paid,PO-98686,0
MN-INV5175,Meridian North,3,2025-05-29,2025-06-28,2025-07-31,1600.19,Paid,PO-67983,0
MN-INV5176,Meridian North,9,2025-12-23,2026-01-22,,5134.25,Unpaid,PO-24316,0
MN-INV5177,Meridian North,4,2025-01-26,2025-02-25,2025-03-03,11856.28,Paid,,0
MN-INV5178,Meridian North,1,2025-10-09,2025-11-08,2025-10-15,18094.66,Paid,PO-30701,0
MN-INV5179,Meridian North,5,2025-06-14,2025-07-29,2025-08-09,14256.1,Paid,PO-95498,0
MN-INV5180,Meridian North,7,2025-04-01,2025-05-01,2025-05-16,17287.48,Paid,PO-14763,0
MN-INV5181,Meridian North,5,2025-01-20,2025-03-06,2025-03-29,2118.97,Paid,PO-53914,0
MN-INV5182,Meridian North,3,2025-09-16,2025-10-16,2025-09-26,8738.18,Paid,PO-35272,0
MN-INV5183,Meridian North,1,2025-06-22,2025-07-22,2025-08-05,14046.14,Paid,PO-33002,0
MN-INV5184,Meridian North,2,2025-07-25,2025-08-24,2025-07-31,12430.84,Paid,PO-34219,0
MN-INV5185,Meridian North,7,2025-05-01,2025-05-31,2025-06-05,6198.62,Paid,PO-86344,0
MN-INV5186,Meridian North,7,2025-05-01,2025-05-31,2025-06-05,6198.62,Paid,PO-86344,1
MN-INV5187,Meridian North,2,2025-08-27,2025-09-26,2025-09-06,5779.9,Paid,PO-63138,0
MN-INV5188,Meridian North,5,2025-07-08,2025-08-22,2025-07-31,2600.99,Paid,PO-30078,0
MN-INV5189,Meridian North,8,2025-10-03,2025-11-02,2025-10-11,14866.61,Paid,PO-38627,0
MN-INV5190,Meridian North,8,2025-09-28,2025-10-28,2025-10-07,10502.5,Paid,PO-18094,0
MN-INV5191,Meridian North,6,2025-09-24,2025-10-09,2025-09-25,8257.77,Paid,PO-99167,0
MN-INV5192,Meridian North,1,2025-08-21,2025-09-20,2025-09-02,10497.77,Paid,PO-83242,0
MN-INV5193,Meridian North,4,2025-10-24,2025-11-23,2025-11-05,1490.09,Paid,PO-65534,0
MN-INV5194,Meridian North,8,2025-01-17,2025-02-16,2025-02-26,2635.12,Paid,PO-94085,0
MW-INV5001,Meridian West,11,2025-08-26,2025-09-25,2025-09-06,12508.72,Paid,PO-81361,0
MW-INV5002,Meridian West,11,2025-04-07,2025-05-07,2025-06-01,2220.7,Paid,PO-96533,0
MW-INV5003,Meridian West,12,2025-11-03,2025-12-03,2025-11-11,12481.63,Paid,PO-16380,0
MW-INV5004,Meridian West,1,2025-03-13,2025-04-12,2025-04-16,15119.68,Paid,PO-85511,0
MW-INV5005,Meridian West,10,2025-12-05,2026-01-04,2025-12-14,9714.96,Paid,PO-64206,0
MW-INV5006,Meridian West,8,2025-10-12,2025-11-11,2025-10-13,17428.11,Paid,PO-97994,0
MW-INV5007,Meridian West,10,2025-10-03,2025-11-02,2025-10-13,8839.07,Paid,PO-39536,0
MW-INV5008,Meridian West,8,2025-10-13,2025-11-12,2025-10-20,4829.17,Paid,PO-53288,0
MW-INV5009,Meridian West,5,2025-01-27,2025-03-13,2025-03-23,5076.27,Paid,PO-98299,0
MW-INV5010,Meridian West,5,2025-01-27,2025-03-13,2025-03-23,5076.27,Paid,PO-98299,1
MW-INV5011,Meridian West,13,2025-04-22,2025-06-06,2025-05-30,6259.9,Paid,,0
MW-INV5012,Meridian West,12,2025-05-05,2025-06-04,2025-06-18,12914.74,Paid,PO-36805,0
MW-INV5013,Meridian West,13,2025-11-29,2026-01-13,2025-12-22,9560.18,Paid,PO-75179,0
MW-INV5014,Meridian West,5,2025-07-09,2025-08-23,2025-08-04,5892.12,Paid,PO-15992,0
MW-INV5015,Meridian West,13,2025-10-27,2025-12-11,2025-11-18,2946.75,Paid,PO-53236,0
MW-INV5016,Meridian West,7,2025-05-12,2025-06-11,2025-06-18,14157.67,Paid,PO-74044,0
MW-INV5017,Meridian West,7,2025-03-28,2025-04-27,2025-05-16,3527.28,Paid,PO-81058,0
MW-INV5018,Meridian West,2,2025-12-09,2026-01-08,2025-12-21,1040.24,Paid,PO-10836,0
MW-INV5019,Meridian West,5,2025-09-16,2025-10-31,2025-10-09,11852.32,Paid,PO-90808,0
MW-INV5020,Meridian West,13,2025-07-30,2025-09-13,2025-08-24,367.47,Paid,PO-79391,0
MW-INV5021,Meridian West,8,2025-04-02,2025-05-02,2025-05-17,2882.27,Paid,PO-35156,0
MW-INV5022,Meridian West,7,2025-07-27,2025-08-26,2025-08-06,8572.61,Paid,PO-41877,0
MW-INV5023,Meridian West,1,2025-02-17,2025-03-19,2025-03-23,8884.69,Paid,,0
MW-INV5024,Meridian West,7,2025-10-17,2025-11-16,2025-10-28,18083.99,Paid,PO-22499,0
MW-INV5025,Meridian West,14,2025-09-01,2025-10-16,2025-09-25,12709.27,Paid,PO-46749,0
MW-INV5026,Meridian West,1,2025-04-17,2025-05-17,2025-06-18,10922.11,Paid,PO-62205,0
MW-INV5027,Meridian West,8,2025-12-13,2026-01-12,2025-12-25,14015.43,Paid,PO-28343,0
MW-INV5028,Meridian West,1,2025-02-20,2025-03-22,2025-03-29,8170.57,Paid,PO-19963,0
MW-INV5029,Meridian West,1,2025-11-21,2025-12-21,2025-11-29,9152.57,Paid,PO-56636,0
MW-INV5030,Meridian West,2,2025-11-13,2025-12-13,2025-12-02,5570.21,Paid,PO-42302,0
MW-INV5031,Meridian West,10,2025-07-19,2025-08-18,2025-07-28,245.33,Paid,PO-50405,0
MW-INV5032,Meridian West,12,2025-10-13,2025-11-12,2025-10-24,10329.48,Paid,PO-63483,0
MW-INV5033,Meridian West,7,2025-07-17,2025-08-16,2025-07-30,14447.75,Paid,PO-83339,0
MW-INV5034,Meridian West,10,2025-03-13,2025-04-12,2025-04-24,5084.66,Paid,PO-45180,0
MW-INV5035,Meridian West,2,2025-07-04,2025-08-03,2025-07-13,11619.37,Paid,PO-87831,0
MW-INV5036,Meridian West,7,2025-11-14,2025-12-14,2025-11-26,7120.98,Paid,PO-53193,0
MW-INV5037,Meridian West,5,2025-09-03,2025-10-18,2025-09-24,17926.11,Paid,PO-48200,0
MW-INV5038,Meridian West,11,2025-07-21,2025-08-20,2025-08-07,6848.04,Paid,PO-83905,0
MW-INV5039,Meridian West,12,2025-04-18,2025-05-18,2025-05-23,12863.53,Paid,PO-63627,0
MW-INV5040,Meridian West,8,2025-07-13,2025-08-12,2025-07-23,1507.26,Paid,PO-88372,0
MW-INV5041,Meridian West,8,2025-10-06,2025-11-05,2025-10-23,13024.99,Paid,PO-80373,0
MW-INV5042,Meridian West,7,2025-03-27,2025-04-26,2025-05-13,12022.45,Paid,PO-15806,0
MW-INV5043,Meridian West,8,2025-02-24,2025-03-26,2025-04-13,9520.91,Paid,PO-77999,0
MW-INV5044,Meridian West,14,2025-12-20,2026-02-03,,9333.55,Unpaid,PO-55215,0
MW-INV5045,Meridian West,11,2025-08-01,2025-08-31,2025-08-12,15404.68,Paid,PO-28569,0
MW-INV5046,Meridian West,2,2025-08-13,2025-09-12,2025-08-22,13398.59,Paid,PO-69303,0
MW-INV5047,Meridian West,2,2025-12-13,2026-01-12,2025-12-25,13737.98,Paid,PO-77632,0
MW-INV5048,Meridian West,8,2025-11-19,2025-12-19,2025-11-22,3534.69,Paid,PO-93948,0
MW-INV5049,Meridian West,8,2025-07-19,2025-08-18,2025-07-31,5257.63,Paid,PO-18200,0
MW-INV5050,Meridian West,12,2025-02-28,2025-03-30,2025-04-11,4964.18,Paid,PO-74157,0
MW-INV5051,Meridian West,2,2025-06-28,2025-07-28,2025-08-03,3315.88,Paid,PO-98288,0
MW-INV5052,Meridian West,7,2025-03-02,2025-04-01,2025-04-20,4527.81,Paid,,0
MW-INV5053,Meridian West,14,2025-07-16,2025-08-30,2025-08-06,10010.91,Paid,PO-94575,0
MW-INV5054,Meridian West,7,2025-08-19,2025-09-18,2025-08-30,11516.17,Paid,PO-57059,0
MW-INV5055,Meridian West,13,2025-12-01,2026-01-15,2025-12-21,7776.82,Paid,PO-68176,0
MW-INV5056,Meridian West,1,2025-05-21,2025-06-20,2025-07-02,4275.88,Paid,,0
MW-INV5057,Meridian West,13,2025-02-27,2025-04-13,2025-04-18,10116.0,Paid,PO-58085,0
MW-INV5058,Meridian West,8,2025-02-22,2025-03-24,2025-04-01,13655.39,Paid,PO-95678,0
MW-INV5059,Meridian West,2,2025-08-13,2025-09-12,2025-08-23,15048.16,Paid,PO-37509,0
MW-INV5060,Meridian West,8,2025-03-26,2025-04-25,2025-05-03,11456.37,Paid,PO-37082,0
MW-INV5061,Meridian West,13,2025-03-28,2025-05-12,2025-05-17,5459.27,Paid,PO-45041,0
MW-INV5062,Meridian West,8,2025-01-31,2025-03-02,2025-03-26,18362.12,Paid,,0
MW-INV5063,Meridian West,5,2025-12-13,2026-01-27,,11754.58,Unpaid,PO-92288,0
MW-INV5064,Meridian West,2,2025-07-26,2025-08-25,2025-08-06,9611.51,Paid,PO-46467,0
MW-INV5065,Meridian West,1,2025-02-17,2025-03-19,2025-03-29,12337.04,Paid,PO-56952,0
