invoice_id,vendor_id,amount,invoice_date,due_date,paid_date,status,po_reference
MW-INV5052,MW-V106,"$4,527.81",03/02/2025,04/01/2025,04/20/2025,Paid,
MW-INV5053,MW-V110,"$10,010.91",07/16/2025,08/30/2025,08/06/2025,Paid,PO-94575
MW-INV5054,MW-V106,"$11,516.17",08/19/2025,09/18/2025,08/30/2025,Paid,PO-57059
MW-INV5055,MW-V109,"$7,776.82",12/01/2025,01/15/2026,12/21/2025,Paid,PO-68176
MW-INV5056,MW-V101,"$4,275.88",05/21/2025,06/20/2025,07/02/2025,Paid,
MW-INV5057,MW-V109,"$10,116.00",02/27/2025,04/13/2025,04/18/2025,Paid,PO-58085
MW-INV5058,MW-V107,"$13,655.39",02/22/2025,03/24/2025,04/01/2025,Paid,PO-95678
MW-INV5059,MW-V102,"$15,048.16",08/13/2025,09/12/2025,08/23/2025,Paid,PO-37509
MW-INV5060,MW-V107,"$11,456.37",03/26/2025,04/25/2025,05/03/2025,Paid,PO-37082
MW-INV5061,MW-V109,"$5,459.27",03/28/2025,05/12/2025,05/17/2025,Paid,PO-45041
MW-INV5062,MW-V107,"$18,362.12",01/31/2025,03/02/2025,03/26/2025,Paid,
MW-INV5063,MW-V104,"$11,754.58",12/13/2025,01/27/2026,,Unpaid,PO-92288
MW-INV5064,MW-V102,"$9,611.51",07/26/2025,08/25/2025,08/06/2025,Paid,PO-46467
MW-INV5065,MW-V101,"$12,337.04",02/17/2025,03/19/2025,03/29/2025,Paid,PO-56952
MW-INV5066,MW-V104,"$5,077.65",09/11/2025,10/26/2025,10/02/2025,Paid,PO-47171
MW-INV5067,MW-V101,"$8,583.33",01/24/2025,02/23/2025,03/19/2025,Paid,PO-26284
MW-INV5068,MW-V107,"$18,420.99",04/14/2025,05/14/2025,06/04/2025,Paid,PO-27290
MW-INV5069,MW-V106,"$12,057.52",05/09/2025,06/08/2025,07/01/2025,Paid,PO-16787
MW-INV5070,MW-V102,$169.93,02/18/2025,03/20/2025,04/07/2025,Paid,
MW-INV5071,MW-V102,"$4,351.18",08/05/2025,09/04/2025,08/13/2025,Paid,PO-21708
MW-INV5072,MW-V107,"$11,922.92",03/10/2025,04/09/2025,04/11/2025,Paid,
MW-INV5073,MW-V106,"$7,704.88",04/20/2025,05/20/2025,05/28/2025,Paid,PO-99989
MW-INV5074,MW-V107,"$17,825.61",06/29/2025,07/29/2025,08/06/2025,Paid,PO-51222
MW-INV5075,MW-V109,"$14,444.09",11/04/2025,12/19/2025,11/25/2025,Paid,PO-13515
MW-INV5076,MW-V104,"$5,573.20",07/20/2025,09/03/2025,08/11/2025,Paid,PO-17152
MW-INV5077,MW-V108,"$18,090.74",11/23/2025,12/23/2025,11/29/2025,Paid,PO-57329
MW-INV5078,MW-V103,"$17,664.21",08/30/2025,09/29/2025,09/06/2025,Paid,
MW-INV5079,MW-V107,"$14,226.47",09/17/2025,10/17/2025,09/25/2025,Paid,PO-65518
MW-INV5080,MW-V102,"$1,600.05",06/08/2025,07/08/2025,08/02/2025,Paid,PO-36633
MW-INV5081,MW-V102,"$15,682.69",06/08/2025,07/08/2025,07/15/2025,Paid,PO-17589
MW-INV5082,MW-V105,"$13,760.08",12/08/2025,01/07/2026,12/13/2025,Paid,PO-33022
MW-INV5083,MW-V109,"$3,213.77",09/22/2025,11/06/2025,10/17/2025,Paid,PO-26637
MW-INV5084,MW-V107,"$9,762.72",05/20/2025,06/19/2025,06/16/2025,Paid,PO-44465
MW-INV5085,MW-V101,"$3,036.64",09/13/2025,10/13/2025,09/24/2025,Paid,PO-23487
MW-INV5086,MW-V101,"$4,637.52",01/07/2025,02/06/2025,02/13/2025,Paid,PO-71835
MW-INV5087,MW-V109,"$7,788.31",12/02/2025,01/16/2026,12/24/2025,Paid,PO-51934
MW-INV5088,MW-V101,"$4,245.45",04/02/2025,05/02/2025,05/17/2025,Paid,PO-77603
MW-INV5089,MW-V105,"$6,919.67",06/17/2025,07/17/2025,08/06/2025,Paid,PO-48219
MW-INV5090,MW-V108,"$13,590.70",04/11/2025,05/11/2025,05/28/2025,Paid,PO-81638
MW-INV5091,MW-V101,"$15,729.26",06/21/2025,07/21/2025,08/15/2025,Paid,
MW-INV5092,MW-V103,"$1,857.04",05/24/2025,06/23/2025,07/05/2025,Paid,PO-40339
MW-INV5093,MW-V102,"$15,196.32",10/25/2025,11/24/2025,11/05/2025,Paid,PO-19808
MW-INV5094,MW-V106,"$13,008.31",07/21/2025,08/20/2025,07/31/2025,Paid,PO-52762
MW-INV5095,MW-V110,"$8,702.11",02/25/2025,04/11/2025,04/26/2025,Paid,
MW-INV5096,MW-V102,"$3,042.24",02/16/2025,03/18/2025,04/03/2025,Paid,PO-99922
MW-INV5097,MW-V106,"$6,677.88",03/17/2025,04/16/2025,05/03/2025,Paid,
MW-INV5098,MW-V107,"$10,351.75",08/20/2025,09/19/2025,08/31/2025,Paid,PO-82105
MW-INV5099,MW-V104,"$12,743.33",03/08/2025,04/22/2025,05/06/2025,Paid,
MW-INV5100,MW-V102,"$16,710.80",04/12/2025,05/12/2025,06/01/2025,Paid,PO-68121
MW-INV5101,MW-V101,"$13,443.31",03/28/2025,04/27/2025,05/17/2025,Paid,
MW-INV5102,MW-V105,"$8,334.31",05/24/2025,06/23/2025,06/30/2025,Paid,
MW-INV5103,MW-V109,"$2,668.28",09/03/2025,10/18/2025,09/30/2025,Paid,PO-36143
MW-INV5104,MW-V101,"$14,498.15",07/15/2025,08/14/2025,07/25/2025,Paid,PO-57069
MW-INV5105,MW-V107,"$4,169.02",05/19/2025,06/18/2025,07/03/2025,Paid,
MW-INV5106,MW-V104,"$1,987.47",03/23/2025,05/07/2025,05/26/2025,Paid,PO-96096
MW-INV5107,MW-V104,"$6,660.67",10/22/2025,12/06/2025,11/19/2025,Paid,PO-32768
MW-INV5108,MW-V106,"$10,492.18",10/18/2025,11/17/2025,10/23/2025,Paid,PO-83807
MW-INV5109,MW-V101,$515.68,02/16/2025,03/18/2025,04/10/2025,Paid,
MW-INV5110,MW-V103,"$1,242.85",06/15/2025,07/15/2025,07/31/2025,Paid,PO-29360
MW-INV5111,MW-V102,"$10,903.41",07/11/2025,08/10/2025,07/19/2025,Paid,PO-54113
MW-INV5112,MW-V108,"$5,972.15",11/29/2025,12/29/2025,12/04/2025,Paid,PO-83659
MW-INV5113,MW-V103,"$2,486.84",07/13/2025,08/12/2025,07/21/2025,Paid,PO-10235
MW-INV5114,MW-V110,"$3,491.20",01/17/2025,03/03/2025,03/27/2025,Paid,PO-51709
MW-INV5115,MW-V108,"$6,513.97",03/14/2025,04/13/2025,04/23/2025,Paid,
MW-INV5116,MW-V106,$359.11,08/17/2025,09/16/2025,08/28/2025,Paid,PO-37483
MW-INV5117,MW-V101,"$3,202.31",07/17/2025,08/16/2025,07/24/2025,Paid,PO-64266
MW-INV5118,MW-V110,"$14,063.77",11/30/2025,01/14/2026,12/26/2025,Paid,PO-39567
MW-INV5119,MW-V102,"$3,102.60",02/07/2025,03/09/2025,03/10/2025,Paid,PO-19830
MW-INV5120,MW-V108,"$8,064.78",01/16/2025,02/15/2025,03/14/2025,Paid,
MW-INV5121,MW-V106,"$10,317.96",04/16/2025,05/16/2025,06/06/2025,Paid,PO-80795
MW-INV5122,MW-V107,"$10,236.31",10/20/2025,11/19/2025,10/29/2025,Paid,PO-74349
MW-INV5123,MW-V110,"$3,284.77",09/03/2025,10/18/2025,09/28/2025,Paid,PO-48248
MW-INV5124,MW-V108,"$5,012.83",12/05/2025,01/04/2026,12/15/2025,Paid,PO-94130
MW-INV5125,MW-V105,"$5,078.11",08/14/2025,09/13/2025,08/21/2025,Paid,PO-18079
MW-INV5126,MW-V109,"$17,962.45",07/31/2025,09/14/2025,08/25/2025,Paid,PO-87296
MW-INV5127,MW-V109,"$16,328.35",12/18/2025,02/01/2026,,Unpaid,PO-72424
MW-INV5128,MW-V101,"$10,631.89",09/15/2025,10/15/2025,09/22/2025,Paid,PO-77740
MW-INV5129,MW-V108,"$4,038.18",03/30/2025,04/29/2025,05/16/2025,Paid,
MW-INV5130,MW-V103,"$4,882.21",11/01/2025,12/01/2025,11/10/2025,Paid,PO-18783
MW-INV5131,MW-V108,"$9,739.01",01/07/2025,02/06/2025,02/20/2025,Paid,
MW-INV5132,MW-V102,"$10,475.25",02/24/2025,03/26/2025,03/25/2025,Paid,PO-23237
MW-INV5133,MW-V108,"$5,203.85",10/20/2025,11/19/2025,10/29/2025,Paid,PO-28855
MW-INV5134,MW-V106,"$4,509.58",12/20/2025,01/19/2026,12/29/2025,Paid,PO-72287
MW-INV5135,MW-V105,"$12,717.03",05/24/2025,06/23/2025,07/14/2025,Paid,
MW-INV5136,MW-V107,"$11,995.93",11/06/2025,12/06/2025,11/11/2025,Paid,PO-34633
MW-INV5137,MW-V106,"$5,859.11",01/29/2025,02/28/2025,03/06/2025,Paid,PO-76426
MW-INV5138,MW-V104,"$4,728.15",01/30/2025,03/16/2025,03/27/2025,Paid,
MW-INV5139,MW-V109,$710.83,07/23/2025,09/06/2025,08/15/2025,Paid,PO-58819
MW-INV5140,MW-V103,"$13,893.44",05/13/2025,06/12/2025,06/20/2025,Paid,PO-21847
MW-INV5141,MW-V104,"$5,087.68",04/24/2025,06/08/2025,06/11/2025,Paid,PO-63674
MW-INV5142,MW-V103,"$3,328.23",11/28/2025,12/28/2025,12/04/2025,Paid,PO-11109
MW-INV5143,MW-V105,"$8,572.61",08/05/2025,09/04/2025,08/19/2025,Paid,PO-38601
MW-INV5144,MW-V109,"$17,885.01",12/06/2025,01/20/2026,12/27/2025,Paid,PO-59051
MW-INV5145,MW-V102,"$15,958.37",06/22/2025,07/22/2025,08/15/2025,Paid,PO-44229
MW-INV5146,MW-V104,"$14,929.64",01/30/2025,03/16/2025,03/27/2025,Paid,PO-88647
MW-INV5147,MW-V105,"$13,669.03",05/13/2025,06/12/2025,07/01/2025,Paid,PO-86418
MW-INV5148,MW-V109,"$14,552.86",11/23/2025,01/07/2026,12/16/2025,Paid,PO-98063
MW-INV5149,MW-V103,"$4,896.26",05/31/2025,06/30/2025,07/15/2025,Paid,PO-83273
MW-INV5150,MW-V104,"$4,248.07",07/01/2025,08/15/2025,07/26/2025,Paid,PO-50250
MW-INV5151,MW-V102,"$10,798.75",08/29/2025,09/28/2025,09/12/2025,Paid,PO-91350
MW-INV5152,MW-V109,"$7,730.52",06/02/2025,07/17/2025,08/02/2025,Paid,
MW-INV5153,MW-V108,"$14,443.57",03/15/2025,04/14/2025,04/20/2025,Paid,PO-73908
MW-INV5154,MW-V104,"$10,724.72",03/28/2025,05/12/2025,06/06/2025,Paid,PO-30766
MW-INV5155,MW-V107,$235.68,07/26/2025,08/25/2025,08/01/2025,Paid,PO-79963
MW-INV5156,MW-V109,$478.76,04/08/2025,05/23/2025,06/08/2025,Paid,PO-10540
MW-INV5157,MW-V102,"$1,348.02",07/16/2025,08/15/2025,07/23/2025,Paid,PO-15992
MW-INV5158,MW-V103,"$18,429.15",06/25/2025,07/25/2025,08/05/2025,Paid,PO-74248
MW-INV5159,MW-V104,"$9,410.03",03/09/2025,04/23/2025,05/05/2025,Paid,PO-26143
MW-INV5160,MW-V109,"$1,041.57",11/16/2025,12/31/2025,12/11/2025,Paid,PO-16286
MW-INV5161,MW-V108,"$13,029.28",07/14/2025,08/13/2025,07/25/2025,Paid,PO-36934
MW-INV5162,MW-V109,"$11,578.34",05/19/2025,07/03/2025,07/19/2025,Paid,PO-27978
MW-INV5163,MW-V102,"$14,425.55",02/24/2025,03/26/2025,03/25/2025,Paid,PO-78569
MW-INV5164,MW-V104,"$17,272.83",12/19/2025,02/02/2026,,Unpaid,PO-53332
MW-INV5165,MW-V102,"$2,886.80",02/26/2025,03/28/2025,04/15/2025,Paid,PO-21807
MW-INV5166,MW-V104,"$18,292.02",08/22/2025,10/06/2025,09/12/2025,Paid,PO-48800
MW-INV5167,MW-V106,"$1,893.22",12/13/2025,01/12/2026,12/21/2025,Paid,
MW-INV5168,MW-V110,"$16,270.03",05/18/2025,07/02/2025,07/27/2025,Paid,PO-22183
MW-INV5169,MW-V105,"$7,888.93",07/17/2025,08/16/2025,07/25/2025,Paid,PO-31860
MW-INV5170,MW-V102,"$16,871.01",08/02/2025,09/01/2025,08/08/2025,Paid,PO-73265
MW-INV5171,MW-V110,"$13,495.56",01/15/2025,03/01/2025,03/25/2025,Paid,PO-27125
MW-INV5172,MW-V101,"$9,780.41",12/14/2025,01/13/2026,12/19/2025,Paid,PO-85582
MW-INV5173,MW-V110,"$8,993.41",02/18/2025,04/04/2025,04/02/2025,Paid,PO-96993
MW-INV5174,MW-V101,"$17,295.72",11/26/2025,12/26/2025,12/07/2025,Paid,PO-76265
MW-INV5175,MW-V104,"$4,236.66",06/19/2025,08/03/2025,08/17/2025,Paid,PO-94320
MW-INV5176,MW-V108,"$15,868.41",02/15/2025,03/17/2025,03/28/2025,Paid,PO-68598
MW-INV5177,MW-V107,"$1,817.93",01/19/2025,02/18/2025,03/01/2025,Paid,PO-89194
MW-INV5178,MW-V108,"$6,817.33",06/24/2025,07/24/2025,08/04/2025,Paid,PO-17113
MW-INV5179,MW-V108,"$1,937.97",12/03/2025,01/02/2026,12/10/2025,Paid,PO-96364
MW-INV5180,MW-V102,"$16,607.70",01/24/2025,02/23/2025,03/14/2025,Paid,
MW-INV5181,MW-V104,"$4,106.07",04/07/2025,05/22/2025,06/15/2025,Paid,PO-34979
MW-INV5182,MW-V110,"$14,318.86",03/05/2025,04/19/2025,05/13/2025,Paid,PO-69048
MW-INV5183,MW-V109,"$10,886.97",01/25/2025,03/11/2025,03/13/2025,Paid,PO-76628
MW-INV5184,MW-V103,"$7,258.89",02/23/2025,03/25/2025,04/02/2025,Paid,PO-88714
MW-INV5185,MW-V104,"$5,548.08",05/21/2025,07/05/2025,07/10/2025,Paid,
MW-INV5186,MW-V109,"$13,212.89",06/10/2025,07/25/2025,08/10/2025,Paid,PO-82559
MW-INV5187,MW-V103,"$10,104.72",11/29/2025,12/29/2025,12/10/2025,Paid,PO-93476
MW-INV5188,MW-V107,"$13,873.39",12/12/2025,01/11/2026,12/21/2025,Paid,PO-79979
MW-INV5189,MW-V103,"$13,915.90",01/28/2025,02/27/2025,03/08/2025,Paid,PO-31094
MW-INV5190,MW-V105,"$13,978.45",04/15/2025,05/15/2025,05/21/2025,Paid,PO-14234
MW-INV5191,MW-V104,"$14,542.04",11/28/2025,01/12/2026,12/20/2025,Paid,PO-47701
MW-INV5192,MW-V106,"$1,137.27",10/10/2025,11/09/2025,10/19/2025,Paid,PO-42943
