transaction_id,matched_invoice_id,transaction_date,amount
MW-BANK9098,MW-INV5112,12/04/2025,5972.15
MW-BANK9099,MW-INV5113,07/22/2025,2486.84
MW-BANK9100,MW-INV5114,03/27/2025,3491.20
MW-BANK9101,MW-INV5115,04/23/2025,6513.97
MW-BANK9102,MW-INV5116,08/28/2025,359.11
MW-BANK9103,MW-INV5117,07/26/2025,3202.31
MW-BANK9104,MW-INV5118,12/26/2025,14063.77
MW-BANK9105,MW-INV5119,03/10/2025,3102.60
MW-BANK9106,MW-INV5122,10/30/2025,10236.31
MW-BANK9107,MW-INV5123,09/28/2025,3284.77
MW-BANK9108,MW-INV5124,12/16/2025,5012.83
MW-BANK9109,MW-INV5125,08/21/2025,5078.11
MW-BANK9110,MW-INV5126,08/26/2025,17962.45
MW-BANK9111,MW-INV5128,09/24/2025,10631.89
MW-BANK9112,MW-INV5129,05/25/2025,4038.18
MW-BANK9113,MW-INV5130,11/12/2025,4882.21
MW-BANK9114,MW-INV5131,02/25/2025,9739.01
MW-BANK9115,MW-INV5132,03/26/2025,10475.25
MW-BANK9116,MW-INV5133,10/30/2025,5203.85
MW-BANK9117,MW-INV5134,12/29/2025,4509.58
MW-BANK9118,MW-INV5135,07/16/2025,12717.03
MW-BANK9119,MW-INV5136,11/12/2025,11995.93
MW-BANK9120,MW-INV5137,03/11/2025,5848.61
MW-BANK9121,MW-INV5138,03/27/2025,4728.15
MW-BANK9122,MW-INV5139,08/16/2025,710.83
MW-BANK9123,MW-INV5140,06/20/2025,13893.44
MW-BANK9124,MW-INV5142,12/04/2025,3328.23
MW-BANK9125,MW-INV5143,08/21/2025,8572.61
MW-BANK9126,MW-INV5144,12/27/2025,17885.01
MW-BANK9127,MW-INV5145,08/24/2025,15958.37
MW-BANK9128,MW-INV5146,03/27/2025,14929.64
MW-BANK9129,MW-INV5147,07/01/2025,13669.03
MW-BANK9130,MW-INV5148,12/16/2025,14552.86
MW-BANK9131,MW-INV5149,07/24/2025,4896.26
MW-BANK9132,MW-INV5150,07/26/2025,4248.07
MW-BANK9133,MW-INV5151,09/14/2025,10798.75
MW-BANK9134,MW-INV5152,08/04/2025,7730.52
MW-BANK9135,MW-INV5153,04/21/2025,14448.82
MW-BANK9136,MW-INV5154,06/06/2025,10724.72
MW-BANK9137,MW-INV5155,08/01/2025,235.68
MW-BANK9138,MW-INV5156,06/17/2025,478.76
MW-BANK9139,MW-INV5157,07/25/2025,1348.02
MW-BANK9140,MW-INV5159,05/05/2025,9410.03
MW-BANK9141,MW-INV5160,12/11/2025,1041.57
MW-BANK9142,MW-INV5161,07/25/2025,13029.28
MW-BANK9143,MW-INV5162,07/24/2025,11578.34
MW-BANK9144,MW-INV5163,03/27/2025,14443.55
MW-BANK9145,MW-INV5165,04/24/2025,2886.80
MW-BANK9146,MW-INV5166,09/12/2025,18292.02
MW-BANK9147,MW-INV5167,12/21/2025,1893.22
MW-BANK9148,MW-INV5168,07/27/2025,16270.03
MW-BANK9149,MW-INV5169,07/25/2025,7888.93
MW-BANK9150,MW-INV5170,08/08/2025,16871.01
MW-BANK9151,MW-INV5171,03/27/2025,13500.81
MW-BANK9152,MW-INV5172,12/19/2025,9780.41
MW-BANK9153,MW-INV5173,04/07/2025,8993.41
MW-BANK9154,MW-INV5174,12/07/2025,17295.72
MW-BANK9155,MW-INV5175,08/17/2025,4236.66
MW-BANK9156,MW-INV5176,04/06/2025,15868.41
MW-BANK9157,MW-INV5177,03/06/2025,1817.93
MW-BANK9158,MW-INV5178,08/05/2025,6817.33
MW-BANK9159,MW-INV5179,12/10/2025,1937.97
MW-BANK9160,MW-INV5180,03/23/2025,16607.70
MW-BANK9161,MW-INV5182,05/18/2025,14318.86
MW-BANK9162,MW-INV5183,03/22/2025,10886.97
MW-BANK9163,MW-INV5184,04/04/2025,7258.89
MW-BANK9164,MW-INV5185,07/19/2025,5548.08
MW-BANK9165,MW-INV5186,08/15/2025,13212.89
MW-BANK9166,MW-INV5187,12/10/2025,10104.72
MW-BANK9167,MW-INV5188,12/21/2025,13873.39
MW-BANK9168,MW-INV5189,03/08/2025,13915.90
MW-BANK9169,MW-INV5190,05/26/2025,13978.45
MW-BANK9170,MW-INV5191,12/21/2025,14542.04
MW-BANK9171,MW-INV5192,10/20/2025,1137.27
MW-BANK9172,,12/30/2025,266.10
MW-BANK9173,,10/29/2025,227.71
MW-BANK9174,,11/05/2025,94.66
MW-BANK9175,,04/10/2025,131.79
MW-BANK9176,,04/01/2025,393.71
MW-BANK9177,,02/08/2025,91.05
MW-BANK9178,,03/30/2025,299.33
MW-BANK9179,,03/03/2025,163.34
MW-BANK9180,,08/08/2025,126.06
