transaction_id,matched_invoice_id,transaction_date,amount
MN-BANK9080,MN-INV5085,2025-08-08,11447.22
MN-BANK9081,MN-INV5087,2025-06-30,15279.16
MN-BANK9082,MN-INV5088,2025-04-12,14591.05
MN-BANK9083,MN-INV5089,2025-08-01,11086.26
MN-BANK9084,MN-INV5090,2025-12-09,16049.32
MN-BANK9085,MN-INV5091,2025-04-05,2235.46
MN-BANK9086,MN-INV5092,2025-11-23,945.75
MN-BANK9087,MN-INV5093,2025-08-15,16843.01
MN-BANK9088,MN-INV5094,2025-07-23,7139.60
MN-BANK9089,MN-INV5095,2025-12-10,13377.41
MN-BANK9090,MN-INV5096,2025-03-19,5885.26
MN-BANK9091,MN-INV5097,2025-04-04,13706.91
MN-BANK9092,MN-INV5098,2025-07-11,16180.70
MN-BANK9093,MN-INV5099,2025-06-06,15697.49
MN-BANK9094,MN-INV5100,2025-11-27,11409.07
MN-BANK9095,MN-INV5101,2025-08-24,2778.66
MN-BANK9096,MN-INV5102,2025-06-15,7053.17
MN-BANK9097,MN-INV5103,2025-03-20,1063.14
MN-BANK9098,MN-INV5104,2025-10-06,2238.55
MN-BANK9099,MN-INV5105,2025-05-26,291.06
MN-BANK9100,MN-INV5106,2025-08-23,3374.00
MN-BANK9101,MN-INV5107,2025-08-04,493.91
MN-BANK9102,MN-INV5108,2025-04-25,7582.34
MN-BANK9103,MN-INV5109,2025-08-23,10955.79
MN-BANK9104,MN-INV5110,2025-09-27,11769.67
MN-BANK9105,MN-INV5111,2025-06-17,3333.71
MN-BANK9106,MN-INV5112,2025-10-29,14093.75
MN-BANK9107,MN-INV5113,2025-04-05,11735.92
MN-BANK9108,MN-INV5114,2025-07-19,15411.63
MN-BANK9109,MN-INV5115,2025-10-29,16589.34
MN-BANK9110,MN-INV5116,2025-03-18,8417.10
MN-BANK9111,MN-INV5117,2025-08-20,6827.53
MN-BANK9112,MN-INV5118,2025-03-09,6199.83
MN-BANK9113,MN-INV5119,2025-08-14,16972.30
MN-BANK9114,MN-INV5120,2025-08-04,10406.22
MN-BANK9115,MN-INV5121,2025-03-26,6789.55
MN-BANK9116,MN-INV5122,2025-04-20,2993.24
MN-BANK9117,MN-INV5123,2025-12-14,2554.75
MN-BANK9118,MN-INV5124,2025-03-24,7689.26
MN-BANK9119,MN-INV5125,2025-06-12,14988.25
MN-BANK9120,MN-INV5126,2025-07-04,14428.58
MN-BANK9121,MN-INV5127,2025-03-13,10325.82
MN-BANK9122,MN-INV5128,2025-09-08,16762.37
MN-BANK9123,MN-INV5129,2025-08-14,4476.53
MN-BANK9124,MN-INV5130,2025-05-05,852.86
MN-BANK9125,MN-INV5131,2025-02-21,10220.56
MN-BANK9126,MN-INV5132,2025-08-19,11874.76
MN-BANK9127,MN-INV5133,2025-11-01,8026.53
MN-BANK9128,MN-INV5135,2025-02-17,4804.48
MN-BANK9129,MN-INV5136,2025-03-26,963.56
MN-BANK9130,MN-INV5137,2025-05-06,8548.42
MN-BANK9131,MN-INV5138,2025-10-18,8836.89
MN-BANK9132,MN-INV5139,2025-06-22,16472.08
MN-BANK9133,MN-INV5140,2025-07-04,14851.07
MN-BANK9134,MN-INV5142,2025-11-12,18466.06
MN-BANK9135,MN-INV5143,2025-09-25,17633.69
MN-BANK9136,MN-INV5144,2025-07-07,7175.38
MN-BANK9137,MN-INV5145,2025-11-01,5918.97
MN-BANK9138,MN-INV5146,2025-04-24,4953.60
MN-BANK9139,MN-INV5147,2025-06-07,8444.98
MN-BANK9140,MN-INV5148,2025-10-19,5478.15
MN-BANK9141,MN-INV5149,2025-05-31,9215.30
MN-BANK9142,MN-INV5151,2025-12-03,9643.56
MN-BANK9143,MN-INV5152,2025-09-26,16861.57
MN-BANK9144,MN-INV5153,2025-08-23,5362.29
MN-BANK9145,MN-INV5154,2025-03-27,9372.22
MN-BANK9146,MN-INV5155,2025-10-24,1640.44
MN-BANK9147,MN-INV5156,2025-09-24,16463.09
MN-BANK9148,MN-INV5157,2025-07-05,3050.78
MN-BANK9149,MN-INV5158,2025-07-26,18048.12
MN-BANK9150,MN-INV5159,2025-09-13,5475.39
MN-BANK9151,MN-INV5160,2025-05-10,14153.28
MN-BANK9152,MN-INV5161,2025-09-24,10829.36
MN-BANK9153,MN-INV5163,2025-05-22,7239.50
MN-BANK9154,MN-INV5164,2025-08-01,6998.19
MN-BANK9155,MN-INV5165,2025-03-13,6261.30
MN-BANK9156,MN-INV5166,2025-04-23,7360.72
MN-BANK9157,MN-INV5167,2025-10-24,6909.37
MN-BANK9158,MN-INV5168,2025-11-19,8858.73
MN-BANK9159,MN-INV5169,2025-04-25,14364.02
MN-BANK9160,MN-INV5170,2025-02-20,8243.06
MN-BANK9161,MN-INV5171,2025-03-12,10442.27
MN-BANK9162,MN-INV5172,2025-07-09,12552.19
MN-BANK9163,MN-INV5173,2025-11-05,18174.48
MN-BANK9164,MN-INV5174,2025-08-15,2386.39
MN-BANK9165,MN-INV5175,2025-07-31,1600.19
MN-BANK9166,MN-INV5177,2025-03-05,11856.28
MN-BANK9167,MN-INV5178,2025-10-16,18094.66
MN-BANK9168,MN-INV5179,2025-08-18,14245.60
MN-BANK9169,MN-INV5180,2025-05-18,17287.48
MN-BANK9170,MN-INV5181,2025-04-03,2118.97
MN-BANK9171,MN-INV5182,2025-09-27,8738.18
MN-BANK9172,MN-INV5183,2025-08-07,14046.14
MN-BANK9173,MN-INV5185,2025-06-14,6198.62
MN-BANK9174,MN-INV5187,2025-09-06,5779.90
MN-BANK9175,MN-INV5188,2025-07-31,2600.99
MN-BANK9176,MN-INV5189,2025-10-13,14866.61
MN-BANK9177,MN-INV5190,2025-10-07,10502.50
MN-BANK9178,MN-INV5191,2025-09-25,8257.77
MN-BANK9179,MN-INV5192,2025-09-02,10497.77
MN-BANK9180,MN-INV5193,2025-11-05,1490.09
MN-BANK9181,MN-INV5194,2025-02-28,2635.12
MN-BANK9182,,2025-07-13,162.75
MN-BANK9183,,2025-12-16,386.37
MN-BANK9184,,2025-10-04,70.54
MN-BANK9185,,2025-06-28,65.08
MN-BANK9186,,2025-10-03,169.36
MN-BANK9187,,2025-03-07,296.59
MN-BANK9188,,2025-04-25,337.23
