transaction_id,matched_invoice_id,transaction_date,amount
MC-BANK9086,MC-INV5091,24-Nov-2025,1251.96
MC-BANK9087,MC-INV5092,30-Nov-2025,8200.49
MC-BANK9088,MC-INV5093,01-Sep-2025,10408.10
MC-BANK9089,MC-INV5094,26-Jul-2025,15941.29
MC-BANK9090,MC-INV5095,18-Feb-2025,14388.09
MC-BANK9091,MC-INV5096,17-Jun-2025,17897.44
MC-BANK9092,MC-INV5097,05-Dec-2025,6059.14
MC-BANK9093,MC-INV5098,18-Sep-2025,11926.14
MC-BANK9094,MC-INV5099,22-Mar-2025,390.13
MC-BANK9095,MC-INV5100,22-Oct-2025,15234.19
MC-BANK9096,MC-INV5101,16-May-2025,17776.77
MC-BANK9097,MC-INV5102,29-Oct-2025,13897.72
MC-BANK9098,MC-INV5103,17-Aug-2025,16349.82
MC-BANK9099,MC-INV5104,31-Aug-2025,10243.99
MC-BANK9100,MC-INV5105,23-Oct-2025,10162.24
MC-BANK9101,MC-INV5106,08-Feb-2025,11082.25
MC-BANK9102,MC-INV5107,02-Feb-2025,14307.45
MC-BANK9103,MC-INV5108,01-Sep-2025,6885.97
MC-BANK9104,MC-INV5109,04-Apr-2025,13427.70
MC-BANK9105,MC-INV5110,10-Nov-2025,14983.06
MC-BANK9106,MC-INV5111,12-Apr-2025,16110.58
MC-BANK9107,MC-INV5112,10-Jul-2025,10516.15
MC-BANK9108,MC-INV5113,26-Nov-2025,10705.93
MC-BANK9109,MC-INV5114,13-Nov-2025,4967.94
MC-BANK9110,MC-INV5115,15-Sep-2025,7404.10
MC-BANK9111,MC-INV5116,23-Jul-2025,2214.92
MC-BANK9112,MC-INV5117,03-May-2025,18262.91
MC-BANK9113,MC-INV5118,25-Dec-2025,15798.22
MC-BANK9114,MC-INV5119,02-Mar-2025,6449.03
MC-BANK9115,MC-INV5120,15-Oct-2025,9013.53
MC-BANK9116,MC-INV5122,01-Mar-2025,12315.71
MC-BANK9117,MC-INV5123,27-Jul-2025,9481.72
MC-BANK9118,MC-INV5125,10-Aug-2025,6676.44
MC-BANK9119,MC-INV5126,19-Mar-2025,4289.44
MC-BANK9120,MC-INV5127,17-Nov-2025,16164.07
MC-BANK9121,MC-INV5128,25-Jul-2025,12122.87
MC-BANK9122,MC-INV5129,08-Apr-2025,8041.68
MC-BANK9123,MC-INV5130,06-May-2025,2820.34
MC-BANK9124,MC-INV5131,23-Dec-2025,17275.14
MC-BANK9125,MC-INV5132,21-Nov-2025,4387.22
MC-BANK9126,MC-INV5133,13-Nov-2025,8751.81
MC-BANK9127,MC-INV5134,08-Feb-2025,17149.73
MC-BANK9128,MC-INV5135,22-Sep-2025,12772.28
MC-BANK9129,MC-INV5136,20-Jul-2025,10645.00
MC-BANK9130,MC-INV5137,02-Jul-2025,9668.19
MC-BANK9131,MC-INV5139,22-May-2025,5738.57
MC-BANK9132,MC-INV5140,07-Sep-2025,15378.55
MC-BANK9133,MC-INV5141,03-Nov-2025,8423.76
MC-BANK9134,MC-INV5143,30-Aug-2025,13128.57
MC-BANK9135,MC-INV5144,26-Oct-2025,16138.45
MC-BANK9136,MC-INV5145,20-Jul-2025,2564.33
MC-BANK9137,MC-INV5146,28-Jan-2025,11306.51
MC-BANK9138,MC-INV5147,20-Nov-2025,5253.37
MC-BANK9139,MC-INV5148,03-Mar-2025,2817.62
MC-BANK9140,MC-INV5149,15-Aug-2025,5368.38
MC-BANK9141,MC-INV5150,14-Jul-2025,17242.65
MC-BANK9142,MC-INV5151,28-Feb-2025,12896.27
MC-BANK9143,MC-INV5152,02-Nov-2025,13540.52
MC-BANK9144,MC-INV5153,16-Aug-2025,9790.93
MC-BANK9145,MC-INV5155,04-Sep-2025,15712.08
MC-BANK9146,MC-INV5156,14-Feb-2025,11905.35
MC-BANK9147,MC-INV5157,07-Apr-2025,13442.68
MC-BANK9148,MC-INV5158,11-Sep-2025,16961.59
MC-BANK9149,MC-INV5159,04-Sep-2025,13776.43
MC-BANK9150,MC-INV5160,23-Dec-2025,6237.05
MC-BANK9151,MC-INV5161,13-Apr-2025,11071.77
MC-BANK9152,MC-INV5162,18-Jul-2025,8442.48
MC-BANK9153,MC-INV5163,31-Mar-2025,9006.87
MC-BANK9154,MC-INV5164,05-May-2025,14269.98
MC-BANK9155,MC-INV5165,31-Aug-2025,2275.59
MC-BANK9156,MC-INV5166,17-Apr-2025,9702.60
MC-BANK9157,MC-INV5168,19-May-2025,14330.64
MC-BANK9158,MC-INV5169,27-Sep-2025,2028.59
MC-BANK9159,MC-INV5170,22-Jun-2025,16540.66
MC-BANK9160,MC-INV5171,12-Apr-2025,7975.65
MC-BANK9161,MC-INV5172,10-Jul-2025,13231.69
MC-BANK9162,MC-INV5173,28-Sep-2025,1934.78
MC-BANK9163,MC-INV5174,21-Nov-2025,3514.53
MC-BANK9164,MC-INV5175,04-May-2025,6598.94
MC-BANK9165,MC-INV5176,09-Aug-2025,6129.71
MC-BANK9166,MC-INV5177,10-Jun-2025,10204.86
MC-BANK9167,MC-INV5178,30-Oct-2025,4483.43
MC-BANK9168,MC-INV5179,02-Sep-2025,6120.69
MC-BANK9169,MC-INV5180,21-Jul-2025,1278.20
MC-BANK9170,MC-INV5181,28-Oct-2025,5499.08
MC-BANK9171,MC-INV5182,09-Aug-2025,13321.47
MC-BANK9172,MC-INV5183,06-Jul-2025,1295.23
MC-BANK9173,MC-INV5185,02-Mar-2025,7384.82
MC-BANK9174,MC-INV5186,24-May-2025,3603.96
MC-BANK9175,MC-INV5188,12-Aug-2025,15933.80
MC-BANK9176,MC-INV5189,10-Aug-2025,11243.92
MC-BANK9177,MC-INV5190,18-Jul-2025,764.03
MC-BANK9178,MC-INV5192,12-Dec-2025,13759.94
MC-BANK9179,MC-INV5193,11-Oct-2025,9557.37
MC-BANK9180,MC-INV5194,03-May-2025,798.24
MC-BANK9181,MC-INV5195,27-Apr-2025,5503.67
MC-BANK9182,MC-INV5196,24-Jun-2025,2582.09
MC-BANK9183,MC-INV5197,25-Apr-2025,3368.58
MC-BANK9184,MC-INV5198,09-Nov-2025,17287.83
MC-BANK9185,MC-INV5199,19-Dec-2025,15597.64
MC-BANK9186,MC-INV5200,12-Aug-2025,8889.49
MC-BANK9187,MC-INV5202,01-Dec-2025,6642.75
MC-BANK9188,MC-INV5203,16-Jun-2025,14337.32
MC-BANK9189,MC-INV5205,25-Dec-2025,5348.50
MC-BANK9190,MC-INV5206,14-Nov-2025,11858.82
MC-BANK9191,MC-INV5207,30-May-2025,4798.71
MC-BANK9192,MC-INV5208,28-Dec-2025,16727.23
MC-BANK9193,MC-INV5209,18-Mar-2025,3415.01
MC-BANK9194,MC-INV5210,14-May-2025,10070.60
MC-BANK9195,,06-Feb-2025,237.11
MC-BANK9196,,09-May-2025,315.35
MC-BANK9197,,10-Jan-2025,360.67
MC-BANK9198,,18-Mar-2025,268.09
