invoice_id,vendor_id,invoice_date,due_date,paid_date,amount,status,po_reference
MN-INV5026,MN-V108,2025-02-09,2025-03-11,2025-03-12,13243.55,Paid,PO-40735
MN-INV5027,MN-V103,2025-04-29,2025-05-29,2025-06-06,4076.04,Paid,PO-64377
MN-INV5028,MN-V107,2025-07-19,2025-08-18,2025-07-30,16753.79,Paid,PO-86556
MN-INV5029,MN-V105,2025-07-19,2025-09-02,2025-08-17,7839.04,Paid,PO-81582
MN-INV5030,MN-V101,2025-07-19,2025-08-18,2025-07-23,6317.98,Paid,PO-99016
MN-INV5031,MN-V109,2025-01-14,2025-02-13,2025-03-07,12316.05,Paid,PO-21003
MN-INV5032,MN-V106,2025-04-19,2025-05-04,2025-05-09,8493.73,Paid,PO-54236
MN-INV5033,MN-V101,2025-10-04,2025-11-03,2025-10-20,4264.48,Paid,PO-18993
MN-INV5034,MN-V101,2025-11-15,2025-12-15,2025-11-27,2946.22,Paid,PO-26544
MN-INV5035,MN-V106,2025-03-27,2025-04-11,2025-04-04,13331.86,Paid,PO-31465
MN-INV5036,MN-V107,2025-07-23,2025-08-22,2025-07-28,17425.99,Paid,PO-35995
MN-INV5037,MN-V102,2025-10-17,2025-11-16,2025-10-27,8010.74,Paid,PO-58571
MN-INV5038,MN-V102,2025-08-10,2025-09-09,2025-08-17,17780.45,Paid,PO-93307
MN-INV5039,MN-V105,2025-11-12,2025-12-27,2025-12-08,9022.18,Paid,PO-67091
MN-INV5040,MN-V102,2025-05-23,2025-06-22,2025-06-23,16327.93,Paid,PO-41963
MN-INV5041,MN-V103,2025-09-07,2025-10-07,2025-09-18,6395.22,Paid,PO-88139
MN-INV5042,MN-V104,2025-07-28,2025-08-27,2025-08-12,9115.40,Paid,PO-41499
MN-INV5043,MN-V105,2025-04-24,2025-06-08,2025-06-14,12333.67,Paid,PO-58368
MN-INV5044,MN-V106,2025-12-26,2026-01-10,2025-12-30,8476.23,Paid,PO-50189
MN-INV5045,MN-V103,2025-04-09,2025-05-09,2025-05-23,13446.13,Paid,PO-78765
MN-INV5046,MN-V105,2025-01-08,2025-02-22,2025-03-16,13142.14,Paid,PO-26591
MN-INV5047,MN-V108,2025-02-22,2025-03-24,2025-04-13,8763.43,Paid,PO-67733
MN-INV5048,MN-V102,2025-07-25,2025-08-24,2025-08-01,9173.55,Paid,PO-85631
MN-INV5049,MN-V102,2025-05-08,2025-06-07,2025-06-30,11275.93,Paid,PO-91057
MN-INV5050,MN-V107,2025-06-06,2025-07-06,2025-07-28,10584.35,Paid,PO-17894
MN-INV5051,MN-V102,2025-03-22,2025-04-21,2025-05-03,3022.37,Paid,PO-63545
MN-INV5052,MN-V105,2025-05-25,2025-07-09,2025-08-01,13049.82,Paid,
MN-INV5053,MN-V104,2025-08-06,2025-09-05,2025-08-17,2883.96,Paid,PO-44816
MN-INV5054,MN-V105,2025-08-13,2025-09-27,2025-09-08,2431.89,Paid,PO-49857
MN-INV5055,MN-V101,2025-08-10,2025-09-09,2025-08-19,624.62,Paid,PO-40005
MN-INV5056,MN-V105,2025-10-23,2025-12-07,2025-11-12,888.25,Paid,PO-32962
MN-INV5057,MN-V108,2025-02-16,2025-03-18,2025-03-20,6041.42,Paid,PO-23710
MN-INV5058,MN-V107,2025-10-09,2025-11-08,2025-10-19,823.39,Paid,PO-21542
MN-INV5059,MN-V101,2025-12-03,2026-01-02,2025-12-15,1144.64,Paid,PO-77952
MN-INV5060,MN-V109,2025-03-09,2025-04-08,2025-04-12,17172.80,Paid,PO-67424
MN-INV5061,MN-V104,2025-03-23,2025-04-22,2025-05-03,7636.63,Paid,PO-39451
MN-INV5062,MN-V103,2025-09-13,2025-10-13,2025-09-23,17264.18,Paid,PO-48254
MN-INV5063,MN-V109,2025-03-16,2025-04-15,2025-04-11,9476.22,Paid,PO-27892
MN-INV5064,MN-V105,2025-01-02,2025-02-16,2025-03-13,5340.10,Paid,PO-49132
MN-INV5065,MN-V109,2025-09-05,2025-10-05,2025-09-12,10121.94,Paid,PO-69682
MN-INV5066,MN-V107,2025-01-23,2025-02-22,2025-03-15,5988.54,Paid,PO-71993
MN-INV5067,MN-V103,2025-09-11,2025-10-11,2025-09-22,17864.24,Paid,PO-53515
MN-INV5068,MN-V101,2025-03-15,2025-04-14,2025-04-24,7673.11,Paid,PO-95823
MN-INV5069,MN-V102,2025-06-18,2025-07-18,2025-08-09,7123.17,Paid,PO-51505
MN-INV5070,MN-V104,2025-11-20,2025-12-20,2025-11-25,12708.73,Paid,PO-47667
MN-INV5071,MN-V102,2025-08-16,2025-09-15,2025-08-27,681.18,Paid,PO-52516
MN-INV5072,MN-V107,2025-10-17,2025-11-16,2025-10-29,12661.04,Paid,PO-33600
MN-INV5073,MN-V103,2025-04-29,2025-05-29,2025-06-03,4835.25,Paid,PO-11231
MN-INV5074,MN-V108,2025-06-26,2025-07-26,2025-08-08,18273.41,Paid,PO-49210
MN-INV5075,MN-V107,2025-09-05,2025-10-05,2025-09-17,6736.90,Paid,PO-48780
MN-INV5076,MN-V101,2025-11-07,2025-12-07,2025-11-18,13823.91,Paid,PO-47512
MN-INV5077,MN-V105,2025-12-14,2026-01-28,,12643.69,Unpaid,PO-27927
MN-INV5078,MN-V101,2025-06-08,2025-07-08,2025-07-04,14621.00,Paid,PO-14373
MN-INV5079,MN-V107,2025-03-31,2025-04-30,2025-05-16,16233.05,Paid,PO-57953
MN-INV5080,MN-V108,2025-06-01,2025-07-01,2025-07-28,13849.36,Paid,PO-54396
MN-INV5081,MN-V107,2025-10-13,2025-11-12,2025-10-19,405.41,Paid,PO-80329
MN-INV5082,MN-V106,2025-02-25,2025-03-12,2025-04-04,12533.25,Paid,
MN-INV5083,MN-V102,2025-11-22,2025-12-22,2025-12-04,5695.19,Paid,PO-63516
MN-INV5084,MN-V102,2025-05-01,2025-05-31,2025-05-25,16431.21,Paid,PO-27781
MN-INV5085,MN-V103,2025-08-01,2025-08-31,2025-08-07,11447.22,Paid,
MN-INV5086,MN-V106,2025-02-20,2025-03-07,2025-03-04,18150.02,Paid,PO-58147
MN-INV5087,MN-V105,2025-04-08,2025-05-23,2025-06-25,15273.91,Paid,PO-22015
MN-INV5088,MN-V104,2025-03-06,2025-04-05,2025-04-12,14591.05,Paid,
MN-INV5089,MN-V104,2025-06-18,2025-07-18,2025-08-01,11086.26,Paid,PO-46342
MN-INV5090,MN-V102,2025-12-05,2026-01-04,2025-12-09,16049.32,Paid,
MN-INV5091,MN-V105,2025-01-27,2025-03-13,2025-03-31,2235.46,Paid,PO-18330
MN-INV5092,MN-V104,2025-11-11,2025-12-11,2025-11-23,945.75,Paid,PO-96363
MN-INV5093,MN-V107,2025-08-07,2025-09-06,2025-08-15,16843.01,Paid,PO-19632
MN-INV5094,MN-V109,2025-06-16,2025-07-16,2025-07-18,7139.60,Paid,PO-88301
MN-INV5095,MN-V102,2025-12-02,2026-01-01,2025-12-09,13377.41,Paid,PO-38183
MN-INV5096,MN-V107,2025-02-18,2025-03-20,2025-03-19,5885.26,Paid,PO-50963
MN-INV5097,MN-V102,2025-02-13,2025-03-15,2025-03-30,13706.91,Paid,PO-27054
MN-INV5098,MN-V107,2025-07-01,2025-07-31,2025-07-11,16180.70,Paid,PO-65435
MN-INV5099,MN-V109,2025-04-19,2025-05-19,2025-06-05,15697.49,Paid,PO-55890
MN-INV5100,MN-V109,2025-11-15,2025-12-15,2025-11-27,11409.07,Paid,PO-94239
MN-INV5101,MN-V105,2025-06-23,2025-08-07,2025-08-15,2778.66,Paid,PO-96159
MN-INV5102,MN-V109,2025-04-21,2025-05-21,2025-06-06,7053.17,Paid,PO-69460
MN-INV5103,MN-V102,2025-01-27,2025-02-26,2025-03-18,1063.14,Paid,PO-20693
MN-INV5104,MN-V104,2025-09-20,2025-10-20,2025-10-04,2238.55,Paid,PO-66349
MN-INV5105,MN-V101,2025-04-23,2025-05-23,2025-05-25,291.06,Paid,PO-49507
MN-INV5106,MN-V108,2025-08-09,2025-09-08,2025-08-21,3374.00,Paid,PO-59834
MN-INV5107,MN-V102,2025-07-23,2025-08-22,2025-08-02,493.91,Paid,PO-20205
MN-INV5108,MN-V105,2025-02-28,2025-04-14,2025-04-23,7582.34,Paid,
MN-INV5109,MN-V102,2025-08-12,2025-09-11,2025-08-23,10955.79,Paid,PO-78676
MN-INV5110,MN-V102,2025-09-19,2025-10-19,2025-09-27,11769.67,Paid,PO-79547
MN-INV5111,MN-V103,2025-05-01,2025-05-31,2025-06-17,3333.71,Paid,PO-30036
MN-INV5112,MN-V108,2025-10-16,2025-11-15,2025-10-27,14093.75,Paid,PO-68838
MN-INV5113,MN-V106,2025-03-19,2025-04-03,2025-04-05,11735.92,Paid,PO-46002
MN-INV5114,MN-V101,2025-07-08,2025-08-07,2025-07-19,15411.63,Paid,PO-20057
MN-INV5115,MN-V108,2025-10-25,2025-11-24,2025-10-29,16589.34,Paid,PO-68947
MN-INV5116,MN-V103,2025-02-01,2025-03-03,2025-03-09,8417.10,Paid,PO-55015
MN-INV5117,MN-V108,2025-08-13,2025-09-12,2025-08-18,6827.53,Paid,PO-47079
MN-INV5118,MN-V106,2025-02-03,2025-02-18,2025-02-28,6199.83,Paid,PO-83133
MN-INV5119,MN-V103,2025-06-20,2025-07-20,2025-08-12,16972.30,Paid,PO-50662
MN-INV5120,MN-V102,2025-06-08,2025-07-08,2025-07-26,10406.22,Paid,PO-94343
MN-INV5121,MN-V109,2025-02-17,2025-03-19,2025-03-25,6789.55,Paid,PO-57526
MN-INV5122,MN-V104,2025-03-12,2025-04-11,2025-04-15,2993.24,Paid,PO-48770
MN-INV5123,MN-V101,2025-12-05,2026-01-04,2025-12-12,2554.75,Paid,PO-59377
MN-INV5124,MN-V108,2025-01-23,2025-02-22,2025-03-19,7689.26,Paid,PO-98652
MN-INV5125,MN-V108,2025-04-30,2025-05-30,2025-06-03,14988.25,Paid,PO-71474
MN-INV5126,MN-V108,2025-05-25,2025-06-24,2025-07-04,14428.58,Paid,PO-75916
MN-INV5127,MN-V105,2025-01-27,2025-03-13,2025-03-13,10325.82,Paid,PO-23446
MN-INV5128,MN-V105,2025-08-19,2025-10-03,2025-09-08,16762.37,Paid,PO-29313
MN-INV5129,MN-V101,2025-08-01,2025-08-31,2025-08-14,4476.53,Paid,PO-20696
MN-INV5130,MN-V103,2025-03-12,2025-04-11,2025-04-26,852.86,Paid,PO-71925
MN-INV5131,MN-V102,2025-01-10,2025-02-09,2025-02-20,10220.56,Paid,PO-89807
MN-INV5132,MN-V104,2025-08-03,2025-09-02,2025-08-18,11874.76,Paid,PO-91633
MN-INV5133,MN-V109,2025-10-22,2025-11-21,2025-11-01,8026.53,Paid,PO-90584
MN-INV5134,MN-V106,2025-02-04,2025-02-19,2025-03-08,17644.96,Paid,PO-81313
MN-INV5135,MN-V108,2025-01-23,2025-02-22,2025-02-17,4804.48,Paid,PO-12128
MN-INV5136,MN-V106,2025-03-10,2025-03-25,2025-03-17,963.56,Paid,PO-81567
MN-INV5137,MN-V103,2025-03-11,2025-04-10,2025-05-06,8548.42,Paid,
MN-INV5138,MN-V107,2025-10-06,2025-11-05,2025-10-18,8836.89,Paid,PO-14799
MN-INV5139,MN-V106,2025-05-20,2025-06-04,2025-06-22,16472.08,Paid,PO-67637
MN-INV5140,MN-V109,2025-05-17,2025-06-16,2025-07-04,14851.07,Paid,
MN-INV5141,MN-V102,2025-06-17,2025-07-17,2025-07-24,11208.11,Paid,
MN-INV5142,MN-V106,2025-11-11,2025-11-26,2025-11-12,18466.06,Paid,PO-45986
MN-INV5143,MN-V106,2025-09-20,2025-10-05,2025-09-24,17633.69,Paid,PO-28714
MN-INV5144,MN-V106,2025-07-05,2025-07-20,2025-07-06,7175.38,Paid,
MN-INV5145,MN-V102,2025-10-21,2025-11-20,2025-11-01,5918.97,Paid,PO-46528
MN-INV5146,MN-V109,2025-03-02,2025-04-01,2025-04-19,4953.60,Paid,PO-44116
MN-INV5147,MN-V108,2025-04-13,2025-05-13,2025-06-06,8444.98,Paid,PO-68341
MN-INV5148,MN-V109,2025-10-05,2025-11-04,2025-10-19,5478.15,Paid,PO-49315
MN-INV5149,MN-V102,2025-04-13,2025-05-13,2025-05-26,9215.30,Paid,PO-57303
MN-INV5150,MN-V102,2025-06-08,2025-07-08,2025-07-13,7456.24,Paid,PO-72739
MN-INV5151,MN-V106,2025-11-25,2025-12-10,2025-12-01,9643.56,Paid,PO-26821
MN-INV5152,MN-V107,2025-09-15,2025-10-15,2025-09-26,16861.57,Paid,PO-17263
MN-INV5153,MN-V104,2025-06-27,2025-07-27,2025-08-18,5362.29,Paid,PO-20336
MN-INV5154,MN-V109,2025-02-17,2025-03-19,2025-03-27,9372.22,Paid,PO-32103
MN-INV5155,MN-V106,2025-10-16,2025-10-31,2025-10-24,1640.44,Paid,PO-94076
MN-INV5156,MN-V101,2025-09-12,2025-10-12,2025-09-23,16463.09,Paid,PO-81509
MN-INV5157,MN-V107,2025-06-02,2025-07-02,2025-06-30,3050.78,Paid,PO-64476
MN-INV5158,MN-V106,2025-06-26,2025-07-11,2025-07-26,18048.12,Paid,PO-27139
MN-INV5159,MN-V105,2025-08-19,2025-10-03,2025-09-13,5475.39,Paid,PO-60351
MN-INV5160,MN-V106,2025-04-08,2025-04-23,2025-05-09,14153.28,Paid,PO-75308
MN-INV5161,MN-V107,2025-09-16,2025-10-16,2025-09-23,10854.36,Paid,PO-16377
MN-INV5162,MN-V107,2025-03-10,2025-04-09,2025-04-22,16343.06,Paid,PO-57943
MN-INV5163,MN-V109,2025-04-10,2025-05-10,2025-05-17,7239.50,Paid,PO-69028
MN-INV5164,MN-V102,2025-07-21,2025-08-20,2025-08-01,6998.19,Paid,PO-54444
MN-INV5165,MN-V109,2025-01-21,2025-02-20,2025-03-08,6261.30,Paid,PO-72094
MN-INV5166,MN-V106,2025-03-25,2025-04-09,2025-04-22,7360.72,Paid,PO-90805
MN-INV5167,MN-V108,2025-10-16,2025-11-15,2025-10-24,6909.37,Paid,PO-98317
MN-INV5168,MN-V101,2025-11-02,2025-12-02,2025-11-17,8858.73,Paid,PO-95929
MN-INV5169,MN-V108,2025-03-29,2025-04-28,2025-04-25,14364.02,Paid,
MN-INV5170,MN-V104,2025-01-10,2025-02-09,2025-02-18,8243.06,Paid,
MN-INV5171,MN-V108,2025-02-01,2025-03-03,2025-03-12,10442.27,Paid,PO-96799
MN-INV5172,MN-V109,2025-07-01,2025-07-31,2025-07-07,12552.19,Paid,PO-99226
MN-INV5173,MN-V105,2025-10-13,2025-11-27,2025-11-04,18174.48,Paid,PO-47880
MN-INV5174,MN-V105,2025-05-28,2025-07-12,2025-08-13,2386.39,Paid,PO-98686
MN-INV5175,MN-V103,2025-05-29,2025-06-28,2025-07-31,1600.19,Paid,PO-67983
MN-INV5176,MN-V109,2025-12-23,2026-01-22,,5134.25,Unpaid,PO-24316
MN-INV5177,MN-V104,2025-01-26,2025-02-25,2025-03-03,11856.28,Paid,
MN-INV5178,MN-V101,2025-10-09,2025-11-08,2025-10-15,18094.66,Paid,PO-30701
MN-INV5179,MN-V105,2025-06-14,2025-07-29,2025-08-09,14256.10,Paid,PO-95498
MN-INV5180,MN-V107,2025-04-01,2025-05-01,2025-05-16,17287.48,Paid,PO-14763
MN-INV5181,MN-V105,2025-01-20,2025-03-06,2025-03-29,2118.97,Paid,PO-53914
MN-INV5182,MN-V103,2025-09-16,2025-10-16,2025-09-26,8738.18,Paid,PO-35272
MN-INV5183,MN-V101,2025-06-22,2025-07-22,2025-08-05,14046.14,Paid,PO-33002
MN-INV5184,MN-V102,2025-07-25,2025-08-24,2025-07-31,12430.84,Paid,PO-34219
MN-INV5185,MN-V107,2025-05-01,2025-05-31,2025-06-05,6198.62,Paid,PO-86344
MN-INV5186,MN-V107,2025-05-01,2025-05-31,2025-06-05,6198.62,Paid,PO-86344
MN-INV5187,MN-V102,2025-08-27,2025-09-26,2025-09-06,5779.90,Paid,PO-63138
MN-INV5188,MN-V105,2025-07-08,2025-08-22,2025-07-31,2600.99,Paid,PO-30078
MN-INV5189,MN-V108,2025-10-03,2025-11-02,2025-10-11,14866.61,Paid,PO-38627
MN-INV5190,MN-V108,2025-09-28,2025-10-28,2025-10-07,10502.50,Paid,PO-18094
MN-INV5191,MN-V106,2025-09-24,2025-10-09,2025-09-25,8257.77,Paid,PO-99167
MN-INV5192,MN-V101,2025-08-21,2025-09-20,2025-09-02,10497.77,Paid,PO-83242
MN-INV5193,MN-V104,2025-10-24,2025-11-23,2025-11-05,1490.09,Paid,PO-65534
MN-INV5194,MN-V108,2025-01-17,2025-02-16,2025-02-26,2635.12,Paid,PO-94085
